"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Human Centered Design in 3D Character Modeling with Ethical Framework for AI","F. Limano","Design Department, Binus Graduate Program - Master of Design, Bina Nusantara University, Jakarta, Indonesia",2025 International Conference on Artificial Intelligence for Sustainable Innovation (AI-SI),"23 Jan 2026","2025","","","1","5","This study aims to develop a framework for creating 3D character modeling using AI, while considering ethical principles in digital design practices. The approach centres on a human-centred design process, which is broken down into three key stages: inspiration, ideation, and implementation. This issue has become urgent due to widespread debates on social media, particularly concerning the rise of AI and its potential threat to the creative industry. An ethical framework for AI must emphasise the following principles: utilitarianism—focused on the consideration of pleasure or pain as consequences of actions; rights—the inherent rights of individuals and groups; and virtue—moral actions that shape one's character. These ethical foundations should guide humans before engaging in creative work using AI, to ensure that ethical boundaries in design are not violated. To arrive at the recommended framework, a project-based research method was employed in the creation of 3D character models. The creative process began with original character sketches, followed by style transformation into 3D rendered models using OpenAI ChatGPT. The prototyping phase utilised the AI-based tool Meshy, and the evaluation was conducted through the 3DS Max 3D Editor software. As a result, the study presents a recommendation for a Human-Centred Design approach in 3D Character Modeling.","","979-8-3315-6738-5","10.1109/AI-SI66213.2025.11340886","BINUS University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11340886","3d;ai;character modeling;human centered design","Industries;Solid modeling;Ethics;Technological innovation;Three-dimensional displays;Philosophical considerations;Social networking (online);Shape;Software;Artificial intelligence","","","","25","IEEE","23 Jan 2026","26-28 Aug. 2025","26-28 Aug. 2025","IEEE","IEEE Conferences"
"Anticipatory AI Governance in Practice:Data Sovereignty, Urban AI, and Trustworthy GenAI in the Basque Country","I. Calzada; I. Eizaguirre","Public Policy & Economic History, University of the Basque Country/Ikerbasque St Sebastián, Basque Country, Spain; Human Rights & Democratic Culture Province Council of Gipuzkoa St Sebastian Basque Country, Spain",2025 IEEE International Conference on Agentic AI (ICA),"28 Jan 2026","2025","","","248","251","Agentic and Generative AI (GenAI) confront public administrations with the joint imperatives of innovation, legitimacy, and trust. This paper operationalizes anticipatory governance in the Basque Country (Spain) across four interlinked domains: (i) regional foresight under polycrisis; (ii) data sovereignty countering “data-opolies” through civic data cooperatives; (iii) Urban AI—exemplified by the MUBIL smart mobility centre (Basque mobility innovation hub; www.mubil.eus/en/) prototyping autonomous mobility in rural areas (www.landago.eus/en/)—advancing digital inclusion and mission-oriented public services; and (iv) trustworthy GenAI in Living-Lab assemblages with patients and general practitioners in the Basque Public Healthcare System (www.osakidetza.eus). Drawing on qualitative fieldwork, action research, and institutional analysis, this paper shows how AI is embedded in welfare traditions, cooperative infrastructures, and territorially grounded innovation systems. This paper argues that anticipatory AI governance must align technical design with societal values, embedding trust, accountability, and inclusion in digital infrastructures. This paper discusses implications for translocal federated city-regions pursuing digitally sovereign and socially cohesive AI and shows how place-based, agentic approaches can mitigate algorithmic exclusion while enabling democratic renewal.","","979-8-3315-5634-1","10.1109/ICA67499.2025.00059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11352770","Agentic AI;Anticipatory Governance;Data Sovereignty;Digital Inclusion;Urban AI;Trustworthy AI;Generative AI;Human-AI Governance;Policy Innovation;Data Cooperatives;Basque Country;Science for Policy","Agentic AI;Technological innovation;Generative AI;Digital divide;Public healthcare","","1","","55","IEEE","28 Jan 2026","5-7 Dec. 2025","5-7 Dec. 2025","IEEE","IEEE Conferences"
"Contextualizing AI Agent Evaluation: Proposed Framework for Japanese Businesses","R. Toyoda; H. Kiyomoto; S. Komayama; H. Shigetani; M. Fukui","Data Science & AI Group Enterprise Innovation Dept. Solution Accelerator Division AKKODiS Consulting Ltd. Tokyo, Japan; Data Science & AI Group Enterprise Innovation Dept. Solution Accelerator Division AKKODiS Consulting Ltd. Tokyo, Japan; Data Science & AI Group Enterprise Innovation Dept. Solution Accelerator Division AKKODiS Consulting Ltd. Tokyo, Japan; Data Science & AI Group Enterprise Innovation Dept. Solution Accelerator Division AKKODiS Consulting Ltd. Tokyo, Japan; Data Science & AI Group Enterprise Innovation Dept. Solution Accelerator Division AKKODiS Consulting Ltd. Tokyo, Japan",2025 International Conference on Artificial Intelligence for Sustainable Innovation (AI-SI),"23 Jan 2026","2025","","","1","6","Evaluation is a crucial step in ensuring the quality, safety, and security of Artificial Intelligence agents. However, evaluation frameworks are often generic and fails to consider cultural contexts and nuances such as in Japan. This research addresses this limitation by proposing a “Culturally Attuned Framework for AI Agent Evaluation” tailored for Japanese business environments. The research methodology involved three key steps: (1) establishing a baseline by combining IBM's consolidated AI evaluation categories and Japan's AI Safety Institute (AISI) principles, (2) identifying and analyzing Japanese cultural business philosophies through scoping literature review, and (3) integrating the identified Japanese philosophies such as Kaizen (continuous improvement), Hinshitsu (holistic quality), and Shinrai (relational trust) into the baseline. The resulting framework will provide a contextaware evaluation framework which combines Japanese business culture with the accepted technical and ethical standards for AI. The implications for Japanese businesses and AI developers and designers as well as future directions were discussed.","","979-8-3315-6738-5","10.1109/AI-SI66213.2025.11341698","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11341698","AI Agent;Contextualization;Business;Evaluation;Framework;Responsible AI","Technological innovation;Philosophical considerations;Safety;Cultural differences;Continuous improvement;Security;Artificial intelligence;Standards;Business;Systematic literature review","","","","17","IEEE","23 Jan 2026","26-28 Aug. 2025","26-28 Aug. 2025","IEEE","IEEE Conferences"
"AI for Everyday IT: Accelerate workplace productivity","C. LeMaire; B. Abshire",Manning Publications; Manning Publications,AI for Everyday IT: Accelerate workplace productivity,"","2025","","","","","Automate and accelerate your everyday IT tasks with instant solutions! What if you never had to write another after-incident report, piece of boilerplate code, or a performance review from scratch ever again? Use AI tools like ChatGPT, Claude, Gemini, and Copilot right, and you’ll take back hours of your time—and more! AI for Everyday IT reveals how you can automate dozens of your daily IT tasks with generative AI.  In AI for Everyday IT you’ll learn how to:  Write effective prompts for common IT tasks Optimize report generation, document handling, and workplace communication Resolve IT conflicts and crises Acquire new skills and upgrade your resume AI for help desk, database administration and systems administration Incorporate AI into DevOps processes and create AI-powered applications Simplify time-consuming people management tasks  In this hands-on guide, automation experts Chrissy LeMaire and Brandon Abshire show you how AI tools like ChatGPT have made their lives a million times easier, and how they can do the same for you. You’ll find proven strategies for using AI to improve help desk support, automate sysadmin and database tasks, aid with DevOps engineering, handle managing IT teams, and dozens more time-saving and quality-improving hacks.","","9781633436428","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=11079732.pdf&bkn=11079732&pdfType=book","AI for IT;AI automation;workplace productivity;generative AI;ChatGPT for IT;IT help desk AI;automate IT tasks;prompt engineering;IT conflict resolution;AI for sysadmins;database administration AI;DevOps automation;AI-powered applications","","","","","","","14 Jul 2025","","","Manning","Manning eBooks"
"Mitigating Values Debt in Generative AI: Responsible Engineering with Graph RAG","W. Hussain","CSIRO, Melbourne, Australia",2025 IEEE/ACM International Workshop on Responsible AI Engineering (RAIE),"13 Jun 2025","2025","","","9","12","Generative AI technologies are rapidly transforming industries such as healthcare, education, and transportation. However, this progress often incurs a Values Debt-ethical and operational deficits due to insufficient ethical considerations during development. This paper examines Values Debt in Gen-erative AI and introduces the Helpful, Honest, Harmless (HHH) framework to align AI systems with human values. In developing GRAISE, a Graph RAG-based chatbot for aviation safety, the HHH framework is applied to integrate ethical practices through-out the development process. This case study demonstrates how the HHH framework addresses ethical challenges and provides reliable contextual information to enhance pilot communication, exemplifying responsible AI engineering. These findings advocate for the broader adoption of ethical AI frameworks across various sectors, promoting trust and integrity in AI applications.","","979-8-3315-1466-2","10.1109/RAIE66699.2025.00006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11029428","Generative AI;Values Debt;HHH Framework;Ethical AI;Responsible AI;AI Safety;AI Bias;Hallucination","Symbiosis;Industries;Ethics;Generative AI;Shape;Transportation;Medical services;Systems engineering and theory;Reliability engineering;Safety","","2","","18","IEEE","13 Jun 2025","29-29 April 2025","29-29 April 2025","IEEE","IEEE Conferences"
"An AI-driven Requirements Engineering Framework Tailored for Evaluating AI-Based Software","H. Barzamini; F. Nazaritiji; A. Brockmann; H. Ferdowsi; M. Rahimi","Northern Illinois University, DeKalb, IL; Northern Illinois University, DeKalb, IL; Northern Illinois University, DeKalb, IL; Northern Illinois University, DeKalb, IL; Northern Illinois University, DeKalb, IL",2025 IEEE/ACM 4th International Conference on AI Engineering – Software Engineering for AI (CAIN),"16 Jun 2025","2025","","","138","149","Requirements Engineering (RE) has been extensively refined for traditional software systems, but AI-based software (AIS)11In this work, AI-based software (AIS) refers to software that relies exclusively on vision-based perception, meaning its understanding of the environment is derived solely from camera input. introduces unique challenges that necessitate novel approaches. This paper addresses the gap in RE practices for AIS by proposing a framework that leverages partial specifications of domain concepts from RE and employs eXplainable AI (XAI) to verify AIS's perception of these specifications. The purpose of this framework is to demonstrate that systematically engineering AIS, according to RE practices, rather than fully relying on AI capabilities, will enhance the perception capabilities of resultant AIS. This work aims to enhance RE4AI by offering a structured approach for managing and evaluating requirements specifications in AIS, ultimately leading to improved performance in these systems. Evaluation results showed that our framework improves AIS perception of variants of two domain concepts-pedestrian and aircraft-within the automotive and aviation domains.","","979-8-3315-0219-5","10.1109/CAIN66642.2025.00025","NSF(grant numbers:124606); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11030046","RE4AI;Evaluating AI Software;RE and XAI","Knowledge engineering;Pedestrians;Explainable AI;Semantics;Software systems;Requirements engineering;Artificial intelligence;Automotive engineering;Visual perception;Software engineering","","2","","53","IEEE","16 Jun 2025","27-28 April 2025","27-28 April 2025","IEEE","IEEE Conferences"
"Operationalizing ISO/IEC 42001: Requirements and Conformance Evidence for AI Management Systems","K. Saleh; H. Abdulsalam","Department of Information Sciences, Kuwait University, Kuwait; Department of Information Sciences, Kuwait University, Kuwait",2025 International Conference on Artificial Intelligence for Sustainable Innovation (AI-SI),"23 Jan 2026","2025","","","1","4","The increasing development and deployment of artificial intelligence (AI) applications across critical sectors has amplified the need for robust AI governance and effective risk management frameworks. ISO/IEC 42001:2023 is the first international standard specifically designed to establish, implement, maintain, and continuously improve an AI Management System (AIMS). This paper explores the requirements outlined in ISO/IEC 42001 standard and provides a structured and systematic mapping of these requirements to specific types of supporting evidence necessary for operationalization and audit readiness. Through a clause-by-clause semantic and textual analysis of the standard, we identify the necessary documentation, controls, and operational records that can serve as verifiable evidence of conformance to the standard. The proposed mapping aims to assist organizations in implementing, operationalizing the standard and maintaining conformance to it. The mapping is used to enhance transparency, and to facilitate compliance with ethical, legal and regulatory obligations. The paper concludes with practical insights for implementers and auditors, providing the basic foundation toward auditable and trustworthy AI governance.","","979-8-3315-6738-5","10.1109/AI-SI66213.2025.11341700","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11341700","artificial intelligence;audit;evidence;ISO 42001;management systems;requirements","Technological innovation;Systematics;Law;ISO Standards;Standards organizations;Semantics;Organizations;Risk management;Artificial intelligence;IEC Standards","","","","10","IEEE","23 Jan 2026","26-28 Aug. 2025","26-28 Aug. 2025","IEEE","IEEE Conferences"
"The AI Pocket Book","E. Maggiori",Manning Publications,The AI Pocket Book,"","2025","","","","","Everything you need to know about AI to survive—and thrive—as an engineer. If you’re worried about your tech career going obsolete in a world of super-powered AI, never fear. The AI Pocket Book crams everything engineers need to know about AI into one short volume you can fit into your pocket. You’ll build a better understanding of AI (and its limitations), learn how to use it more effectively, and future-proof your job against its advancement. In The AI Pocket Book you’ll find no-nonsense advice on:  Deciphering AI jargon (there’s lots of it!) Where AI fits within your field of engineering Why AI hallucinates—and what to do about it What to do when AI comes for your job The dark side of AI—copyright, snake oil, and replacing humans Balancing skepticism with unrealistic expectations  The AI Pocket Book gives you Emmanuel Maggiori’s unvarnished and opinionated take on where AI can be useful, and where it still kind of sucks. Whatever your tech field, this short-and-sweet guide delivers the facts and techniques you’ll need in the workplace of the present.","","9781633435759","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=11079548.pdf&bkn=11079548&pdfType=book","embeddings explained;context vectors explained;attention explained;AI for software engineers;Artificial Intelligence career;AI impact on jobs;AI limitations;AI applications;How AI Works;LLMs;Large Language Models;Transformer architecture","","","","","","","14 Jul 2025","","","Manning","Manning eBooks"
"A Study on the Application of AIGC in Children's Food Packaging Design Supported by the AIRAI Cloud Platform","L. Yixuan; M. Masrom","Faculty of Artificial Intelligence, Universiti Teknologi Malaysia, Kuala Lumpur, Malaysia; Faculty of Artificial Intelligence, Universiti Teknologi Malaysia, Kuala Lumpur, Malaysia",2025 International Conference on Artificial Intelligence for Sustainable Innovation (AI-SI),"23 Jan 2026","2025","","","1","5","As artificial intelligence-generated content (AIGC) technologies advance rapidly, their role in visual design has expanded from simple image synthesis to enabling creative workflows and seamlessly integrating into design systems. However, existing research has largely focused on AIGC's core image-generation capabilities, with scant systematic examination of workflow efficiency, targeted adaptability, and practical deployment in specific design contexts. This study leverages AIRAI Cloud — a cloud-deployed AIGC visual platform underpinned by Stable Diffusion—to propose and empirically validate an AI-assisted workflow framework specifically designed for children's food packaging. The platform empowers users, regardless of local hardware limitations, to navigate every critical creative phase, from initial concept ideation to visual prototype realization, while ensuring robust scalability and configurable adaptability. Empirical results indicate that AIRAI Cloud substantially improves designers' ideation efficiency, shortens iteration cycles, and enhances the effectiveness of visual communication with stakeholders. Compared to conventional design workflows or off-the-shelf AIGC solutions, the AIRAI platform demonstrates superior process alignment and integration value in targeted consumer product design tasks. This study addresses a critical gap in research on AIGC deployment pathways and system-level validation within professional design settings, offering empirical evidence and a platform-based framework to support AI-assisted methodologies in consumer visual design workflows.","","979-8-3315-6738-5","10.1109/AI-SI66213.2025.11340929","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11340929","Generative AI in design;Human-AI co-creation;Children's FMCG packaging;AIRAI Cloud;Design-technology integration","Industries;Visualization;Technological innovation;Systematics;Visual communication;Scalability;Prototypes;Collaboration;Food packaging;Stakeholders","","","","24","IEEE","23 Jan 2026","26-28 Aug. 2025","26-28 Aug. 2025","IEEE","IEEE Conferences"
"Green AI Orchestration Bridging Trustworthy AI and Edge AI through tinyML for Frugal Intelligence","J. P. Costa; I. Ntinou; M. Zennaro; J. Shawe-Taylor","IRCAI, Ljubljana, Slovenia; Queen Mary University of London, London, UK; ICTP, Trieste, Italy; University Colledge London, London, UK",2026 18th International Conference on COMmunication Systems and NETworks (COMSNETS),"10 Mar 2026","2026","","","923","928","The rapid proliferation of edge AI, particularly within the TinyML ecosystem, demands innovative approaches to balance computational efficiency, energy consumption, and model performance. This paper explores the relevance of Green AI orchestration—exemplified by initiatives such as the RAIDO project—to the TinyML community, where resource constraints and sustainability are paramount. By integrating energy-efficient hardware, optimized algorithms, and adaptive orchestration frameworks, green AI paradigms allied to TinyML offer a path-way to deploy trustworthy, low-footprint AI models on resource-limited devices. We examine how these principles align with the ethos of frugal AI, which prioritizes minimalism, accessibility, and environmental responsibility. The paper sets the stage for a new era of Frugal Edge AI, where green TinyML orchestration not only reduces operational costs and carbon footprints but also democratizes AI deployment in edge environments. Our discussion underscores the synergy between green, frugal and edge AI, advocating for a holistic approach to AI development that harmonizes technological advancement with environmental stewardship.","2155-2509","979-8-3315-9239-4","10.1109/COMSNETS67989.2026.11418179","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11418179","Edge Artificial Intelligence;AIoT;Green AI;TinyML;AI Orchestration;Frugal AI;Edge Intelligence;Energy Efficiency;Trustworthy AI;Sustainable Computing","Adaptation models;Energy consumption;Tiny machine learning;Green products;Ecosystems;Edge AI;Energy efficiency;Hardware;Internet of Things;Sustainable development","","","","10","IEEE","10 Mar 2026","6-10 Jan. 2026","6-10 Jan. 2026","IEEE","IEEE Conferences"
