"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Block Design-Based Key Agreement for Group Data Sharing in Cloud Computing","J. Shen; T. Zhou; D. He; Y. Zhang; X. Sun; Y. Xiang","School of Computer and Software, Nanjing University of Information Science and Technology, Nanjing, China; School of Computer and Software, Nanjing University of Information Science and Technology, Nanjing, China; State Key Laboratory of Software Engineering, Computer School, Wuhan University, Wuhan, China; School of Information Technology, Deakin University, Burwood, Australia; School of Computer and Software, Nanjing University of Information Science and Technology, Nanjing, China; Digital Research & Innovation Capability Platform, Swinburne University of Technology, Hawthorn, Australia",IEEE Transactions on Dependable and Secure Computing,"11 Nov 2019","2019","16","6","996","1010","Data sharing in cloud computing enables multiple participants to freely share the group data, which improves the efficiency of work in cooperative environments and has widespread potential applications. However, how to ensure the security of data sharing within a group and how to efficiently share the outsourced data in a group manner are formidable challenges. Note that key agreement protocols have played a very important role in secure and efficient group data sharing in cloud computing. In this paper, by taking advantage of the symmetric balanced incomplete block design (SBIBD), we present a novel block design-based key agreement protocol that supports multiple participants, which can flexibly extend the number of participants in a cloud environment according to the structure of the block design. Based on the proposed group data sharing model, we present general formulas for generating the common conference key $\mathcal {K}$K for multiple participants. Note that by benefiting from the $(v,k + 1,1)$(v,k+1,1)-block design, the computational complexity of the proposed protocol linearly increases with the number of participants and the communication complexity is greatly reduced. In addition, the fault tolerance property of our protocol enables the group data sharing in cloud computing to withstand different key attacks, which is similar to Yi's protocol.","1941-0018","","10.1109/TDSC.2017.2725953","National Natural Science Foundation of China(grant numbers:61672295,61373169,61572379,61501333,U1405254); State Key Laboratory of Information Security(grant numbers:2017-MS-10); 2015 Project of six personnel in Jiangsu Province(grant numbers:R2015L06); CICAEET; Priority Academic Program Development of Jiangsu Higher Education Institutions; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7976317","Key agreement protocol;symmetric balanced incomplete block design (SBIBD);data sharing;cloud computing","Protocols;Cloud computing;Fault tolerance;Fault tolerant systems;Data models;Cryptography","","241","","30","IEEE","12 Jul 2017","1 Nov.-Dec. 2019","","IEEE","IEEE Journals"
"Orchestration Based Hybrid or Multi Clouds and Interoperability Standardization","D. Sitaram; S. Harwalkar; C. Sureka; H. Garg; M. Dinesh; M. Kejriwal; S. Gupta; V. Kapoor","Dept. of Computer Science PES University, Center for Cloud Computing and Big Data, Bangalore, India; Dept. of Computer Science PES University, Center for Cloud Computing and Big Data, Bangalore, India; Dept. of Computer Science PES University, Center for Cloud Computing and Big Data, Bangalore, India; Dept. of Computer Science PES University, Center for Cloud Computing and Big Data, Bangalore, India; Dept. of Comput. Sci., PES Univ., Bangalore, India; Dept. of Computer Science PES University, Center for Cloud Computing and Big Data, Bangalore, India; Dept. of Computer Science PES University, Center for Cloud Computing and Big Data, Bangalore, India; Dept. of Computer Science PES University, Center for Cloud Computing and Big Data, Bangalore, India",2018 IEEE International Conference on Cloud Computing in Emerging Markets (CCEM),"24 Feb 2019","2018","","","67","71","In the present scenario, hybrid or multi-cloud environments are most suitable for Enterprises and Communities (like Government of India) for cloud bursting, disaster recovery, migration, and there is growing need for unified monitoring and management, however, it's challenging to setup a viable hybrid/multi-cloud environment. Currently, there are multiple solutions available in the market with limited success due to hidden drawbacks, for instance, vendor-lock-in, portability issues in migration, security threats and expensive in the long run and also, unfortunately, interoperability standardization is still work in progress. In this paper, we explore few hybrid/multi cloud use cases and demonstrate how these can be accomplished with our Federated Cloud Services Framework (middleware), which is built upon OpenStack [5], an open source cloud and by leveraging existing OpenStack functionalities.","","978-1-5386-9441-1","10.1109/CCEM.2018.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8648620","Cloud Computing;Cost Efficiency;Interoperability;OpenStack;Vendor lock in;Hybrid Clouds;Federated Clouds","Cloud computing;Monitoring;Aggregates;Resource management;Standardization;Computer architecture;Interoperability","","16","","7","IEEE","24 Feb 2019","23-24 Nov. 2018","23-24 Nov. 2018","IEEE","IEEE Conferences"
"Convergence Innovation in Cloud Computing Unified Architectures for Multi-Chip and Multi-Computing Integration","W. Zhao; J. Wang; Y. Gong; W. Lou; Y. Su; F. Ma","Institute of Cloud Computing and Big Data China Academy of Information and Communications Technology, Beijing, China; Institute of Cloud Computing and Big Data China Academy of Information and Communications Technology, Beijing, China; Institute of Cloud Computing and Big Data China Academy of Information and Communications Technology, Beijing, China; Institute of Cloud Computing and Big Data China Academy of Information and Communications Technology, Beijing, China; Institute of Cloud Computing and Big Data China Academy of Information and Communications Technology, Beijing, China; Institute of Cloud Computing and Big Data China Academy of Information and Communications Technology, Beijing, China","2025 IEEE 4th International Conference on Computing, Communication, Perception and Quantum Technology (CCPQT)","17 Feb 2026","2025","","","1","5","This paper explores the evolution of cloud computing from a resource-centric model to an integrated infrastructure capable of supporting heterogeneous workloads. Driven by AI proliferation, diverse business scenarios, and heterogeneous hardware demands, cloud platforms now prioritize multi-chip integration (unified management of diverse chips) and multi-computing integration (orchestration of general-purpose, AI, and high-performance computing). We analyze technical frameworks, industry applications, and future trends, highlighting how convergence addresses challenges in scalability, efficiency, and innovation.","","979-8-3315-2583-5","10.1109/CCPQT66408.2025.11382947","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11382947","Cloud computing;Multi-chip integration;Multi-computing;Fusion architecture","Cloud computing;Technological innovation;Quantum computing;Scalability;High performance computing;Industry applications;Computer architecture;Market research;Artificial intelligence;Convergence","","","","12","IEEE","17 Feb 2026","24-26 Oct. 2025","24-26 Oct. 2025","IEEE","IEEE Conferences"
"Connecting Fog and Cloud Computing","D. S. Linthicum",Cloud Technology Partners,IEEE Cloud Computing,"26 Apr 2017","2017","4","2","18","20","There is a perfect storm of the use of cloud computing, and the growth of Internet of Things (IoT). IoT is about processing data that comes from devices in some way that's meaningful, and cloud computing is about leveraging data from centralized computing and storage. Growth rates of both can easily become unmanageable. We have some problems to solve. In addition, alternatives are being consider to placing everything in the public cloud because the public cloud, in some cases, no longer makes sense.","2325-6095","","10.1109/MCC.2017.37","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7912254","cloud computing;cloud tidbits;Internet of Things (IoT);OpenFog;fog computing","Cloud computing;Internet of Things;Standards;Sensors;Computer architecture;Edge computing;Databases","","77","","3","IEEE","26 Apr 2017","March-April 2017","","IEEE","IEEE Magazines"
"One Quantifiable Security Evaluation Model for Cloud Computing Platform","A. Sun; G. Gao; T. Ji; X. Tu","Cloud Computing Centre, Chinese Academy of Sciences, Dongguan, China; Cloud Computing Centre, Chinese Academy of Sciences, Dongguan, China; Cloud Computing Centre, Chinese Academy of Sciences, Dongguan, China; Cloud Computing Centre, Chinese Academy of Sciences, Dongguan, China",2018 Sixth International Conference on Advanced Cloud and Big Data (CBD),"11 Nov 2018","2018","","","197","201","Whatever one public cloud, private cloud or a mixed cloud, the users lack of effective security quantifiable evaluation methods to grasp the security situation of its own information infrastructure on the whole. This paper provides a quantifiable security evaluation system for different clouds that can be accessed by consistent API. The evaluation system includes security scanning engine, security recovery engine, security quantifiable evaluation model, visual display module and etc. The security evaluation model composes of a set of evaluation elements corresponding different fields, such as computing, storage, network, maintenance, application security and etc. Each element is assigned a three tuple on vulnerabilities, score and repair method. The system adopts “One vote vetoed” mechanism for one field to count its score and adds up the summary as the total score, and to create one security view. We implement the quantifiable evaluation for different cloud users based on our G-Cloud platform. It shows the dynamic security scanning score for one or multiple clouds with visual graphs and guided users to modify configuration, improve operation and repair vulnerabilities, so as to improve the security of their cloud resources.","","978-1-5386-8034-6","10.1109/CBD.2018.00043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8530839","cloud computing;security;quantifiable evaluation;security visualization;security view","Cloud computing;Maintenance engineering;Engines;Computational modeling;Visualization;Application security","","22","","15","IEEE","11 Nov 2018","12-15 Aug. 2018","12-15 Aug. 2018","IEEE","IEEE Conferences"
"Comparison of Several Cloud Computing Platforms","J. Peng; X. Zhang; Z. Lei; B. Zhang; W. Zhang; Q. Li","School of computer science & High performance computing center, Shanghai University, Shanghai, China; Qinghua Machinery Factory, Changzhi, Changzhi, China; School of computer science & High performance computing center, Shanghai University, Shanghai, China; School of computer science & High performance computing center, Shanghai University, Shanghai, China; School of computer science & High performance computing center, Shanghai University, Shanghai, China; School of computer science & High performance computing center, Shanghai University, Shanghai, China",2009 Second International Symposium on Information Science and Engineering,"15 Apr 2010","2009","","","23","27","Cloud computing is the development of parallel computing, distributed computing and grid computing. It has been one of the most hot research topics. Now many corporations have involved in the cloud computing related techniques and many cloud computing platforms have been put forward. This is a favorable situation to study and application of cloud computing related techniques. Though interesting, there are also some problems for so many flatforms. For to a novice or user with little knowledge about cloud computing, it is still very hard to make a reasonable choice. What differences are there for different cloud computing platforms and what characteristics and advantages each has? To answer these problems, the characteristics, architectures and applications of several popular cloud computing platforms are analyzed and discussed in detail. From the comparison of these platforms, users can better understand the different cloud platforms and more reasonablely choose what they want.","2160-1291","978-1-4244-6326-8","10.1109/ISISE.2009.94","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5447227","cloud computing;virtualization;utility computing;IaaS;PaaS;SaaS","Cloud computing;Distributed computing;Grid computing;Concurrent computing;Computer science;High performance computing;Parallel processing;Platform virtualization;Computer industry;Network servers","","143","","10","IEEE","15 Apr 2010","26-28 Dec. 2009","26-28 Dec. 2009","IEEE","IEEE Conferences"
"A ""No Data Center"" Solution to Cloud Computing","T. Mengistu; A. Alahmadi; A. Albuali; Y. Alsenani; D. Che","Dept. of Computer Science, Southern Illinois University at Carbondale, Carbondale, Illinois, USA; Dept. of Computer Science, Southern Illinois University at Carbondale, Carbondale, Illinois, USA; Dept. of Computer Science, Southern Illinois University at Carbondale, Carbondale, Illinois, USA; Dept. of Comput. Sci., Southern Illinois Univ. at Carbondale Carbondale, Carbondale, IL, USA; Dept. of Computer Science, Southern Illinois University at Carbondale, Carbondale, Illinois, USA",2017 IEEE 10th International Conference on Cloud Computing (CLOUD),"11 Sep 2017","2017","","","714","717","Current Cloud Computing is primarily based on proprietary data centers, where hundreds of thousands of dedicated servers are setup to host the cloud services. In addition to the huge number of dedicated servers deployed in data centers, there are billions of underutilized Personal Computers (PCs), usually used only for a few hours per day, owned by individuals and organizations worldwide. The vast untapped compute and storage capacities of the underutilized PCs can be consolidated as alternative cloud fabrics to provision broad cloud services, primarily infrastructure as a service. This approach, thus referred to as ""no data center"" approach, complements the data center based cloud provision model. In this paper, we present our opportunistic Cloud Computing system, called cuCloud, that runs on scavenged resources of underutilized PCs within an organization/community. Our system demonstrates that the ""no data center"" solution indeed works. Besides proving our concept, model, and philosophy, our experimental results are highly encouraging.","2159-6190","978-1-5386-1993-3","10.1109/CLOUD.2017.99","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8030657","Cloud Computing;IaaS;Volunteer Computing;No Data Center Solution;Credit Union Model;Credit Union Cloud","Cloud computing;Servers;Computational modeling;Random access memory;Organizations;Data models","","33","","10","IEEE","11 Sep 2017","25-30 June 2017","25-30 June 2017","IEEE","IEEE Conferences"
"C-Cloud: A Cost-Efficient Reliable Cloud of Surplus Computing Resources","P. Dutta; T. Mukherjee; V. G. Hegde; S. Gujar","Xerox Research Center India (XRCI), Bangalore, India; Xerox Research Center India (XRCI), Bangalore, India; Xerox Research Center India (XRCI), Bangalore, India; EPFL, Artijicial Intelligence Laboratory, Lausanne, Switzerland",2014 IEEE 7th International Conference on Cloud Computing,"4 Dec 2014","2014","","","986","987","This paper presents C-CLOUD, a democratic cloud infrastructure for renting computing resources includingnon-cloud resources (i.e. computing equipment not part of any cloud infrastructure, such as, PCs, laptops, enterprise servers and clusters). C-CLOUD enables enormous amount of surplus computing resources, in the range of hundreds of millions, to be rented out to cloud users. Such a sharing of resources allows resource owners to earn from idle resources, and cloud users to have a cost-efficient alternative to large cloud providers. Compared to existing approaches to sharing surplus resources, C-CLOUD has two key challenges: ensuring Service Level Agreement (SLA) and reliability of reservations made over heterogeneous resources, and providing appropriate mechanism to encourage sharing of resources. In this context, C-CLOUD introduces novel incentive mechanism that determines resourcerents parametrically based on their reliability and capability.","2159-6190","978-1-4799-5063-8","10.1109/CLOUD.2014.152","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6973858","Cloud Computing;Reliability;Cost-efficiency","Resource management;Cloud computing;Context;Availability;Computer architecture","","7","","5","IEEE","4 Dec 2014","27 June-2 July 2014","27 June-2 July 2014","IEEE","IEEE Conferences"
"The KOALA Cloud Manager: Cloud Service Management the Easy Way","C. Baun; M. Kunze; V. Mauch","Steinbuch Centre of Computing, Karlsruhe Institute of Technology, Eggenstein-Leopoldshafen, Germany; Steinbuch Centre of Computing, Karlsruhe Institute of Technology, Eggenstein-Leopoldshafen, Germany; Steinbuch Centre of Computing, Karlsruhe Institute of Technology, Eggenstein-Leopoldshafen, Germany",2011 IEEE 4th International Conference on Cloud Computing,"1 Sep 2011","2011","","","744","745","The key advantages of cloud computing are flexibility, scalability (elasticity) and usability and these features originate in the combination of virtualization technologies with web services. However, in contrast to the elasticity and flexibility of cloud services the traditional management methods and tools seem inappropriate because they usually require local software installation with continuous updates and patches. Furthermore, the solutions are often proprietary and only conform to the cloud service offerings of specific service providers, making it difficult to work with cloud services of different providers. A vendor agnostic generic cloud based software service would bear many advantages in this area. This paper describes the design of a better management solution - the KOALA cloud management service - for cloud services and its implementation.","2159-6190","978-1-4577-0836-7","10.1109/CLOUD.2011.64","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6008782","Cloud Computing;Service Management","Cloud computing;Software;Browsers;Google;Graphical user interfaces;Mobile handsets","","6","","6","IEEE","1 Sep 2011","4-9 July 2011","4-9 July 2011","IEEE","IEEE Conferences"
"Cloud Computing for Emerging Mobile Cloud Apps","M. Bahrami","Cloud Lab Electrical Engineering and Computer Science, University of California at Merced, USA","2015 3rd IEEE International Conference on Mobile Cloud Computing, Services, and Engineering","25 Jun 2015","2015","","","4","5","The tutorial will begin with an explanation of the concepts behind cloud computing systems, cloud software architecture, the need for mobile cloud computing as an aspect of the app industry to deal with new mobile app design, network apps, app designing tools, and the motivation for migrating apps to cloud computing systems. The tutorial will review facts, goals and common architectures of mobile cloud computing systems, as well as introduce general mobile cloud services for app developers and marketers. This tutorial will highlight some of the major challenges and costs, and the role of mobile cloud computing architecture in the field of app design, as well as how the app-design industry has an opportunity to migrate to cloud computing systems with low investment. The tutorial will review privacy and security issues. It will describe major mobile cloud vendor services to illustrate how mobile cloud vendors can improve mobile app businesses. We will consider major cloud vendors, such as Microsoft Windows Azure, Amazon AWS and Google Cloud Platform. Finally, the tutorial will survey some of the cuttingedge practices in the field, and present some opportunities for future development.","","978-1-4799-8977-5","10.1109/MobileCloud.2015.40","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7130863","Mobile App Design; Mobile Cloud Computing; Cloud Architecture; Mobile Security; Mobile Privacy","Mobile communication;Cloud computing;Tutorials;Computer architecture;Industries;Conferences;Big data","","35","","4","IEEE","25 Jun 2015","30 March-3 April 2015","30 March-3 April 2015","IEEE","IEEE Conferences"
