"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Application of Computer and Its Related Technologies in Architecture Teaching","L. Xin; C. Yue; S. Chengli; L. Jianhua","School of Architecture and Art Design, Hebei University of Technology, Tianjin, China; School of Information Engineering, Hebei University of Technology, Tianjin, China; School of Architecture and Art Design, Hebei University of Technology, Tianjin, China; School of Architecture and Art Design, Hebei University of Technology, Tianjin, China",2010 Second International Workshop on Education Technology and Computer Science,"6 May 2010","2010","3","","767","769","The application of computer provides the challenge and opportunity for the architecture design. Therefore, it's inevitable to apply computer technology into architecture teaching. Through the analysis and practice of computer in architecture design and ancient building mapping, we conclude that the application of computer in architecture can not only enrich the means of communication and calculation, but also widen the architecture vision with its low cost, convenient conservation and accuracy measure.","","978-1-4244-6389-3","10.1109/ETCS.2010.44","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5458837","architecture education;computer technology;network multimedia technology;architecture design;ancient architecture mapping","Application software;Computer applications;Computer architecture;Streaming media;Educational technology;Internet;Multimedia communication;Multimedia systems;Computer science education;Computer vision","","","","10","IEEE","6 May 2010","6-7 March 2010","6-7 March 2010","IEEE","IEEE Conferences"
"Digital Design and RISC-V Computer Architecture Textbook","S. L. Harris; D. Harris","Electrical and Computer Eng., University of Nevada, Las Vegas, NV, USA; Department of Engineering, Harvey Mudd College, Claremont, CA, USA",2021 ACM/IEEE Workshop on Computer Architecture Education (WCAE),"15 Feb 2022","2021","","","1","5","This paper describes the authors’ Digital Design and Computer Architecture: RISC-V Edition textbook. The book presents a unified 1-or 2-semester course on digital design and computer architecture. We have found that learning these topics together clarifies and solidifies understanding of both concepts. The textbook begins by describing digital design concepts and techniques, from number systems, logic gates, and transistor-level gate design to synchronous sequential circuits such as finite state machines and other common digital building blocks. It then builds on these concepts to teach computer architecture and processor design by introducing the RISC-V instruction set architecture (ISA), showing how to design three RISC-V processors with limited instructions, and describing various memory organizations, including caches and virtual memory. The textbook also describes logic design using hardware description languages (HDLs), covering SystemVerilog and VHDL side-by-side. The optional appendices and online chapters introduce the C programming language, embedded system design, and practical aspects of digital design including breadboarding, ASIC design, and transmission lines.CCS CONCEPTS • Architectures • Embedded Systems • Logic","","978-1-6654-0001-5","10.1109/WCAE53984.2021.9707615","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9707615","Digital Design;Computer Architecture;RISC-V;Education","Embedded systems;VHDL;Architecture;Instruction sets;Education;Buildings;Computer architecture","","3","","7","IEEE","15 Feb 2022","17-17 June 2021","17-17 June 2021","IEEE","IEEE Conferences"
"Incorporating benchmark programming in the teaching of undergraduate Computer Architecture","J. R. Moulic; J. D. See","Department of Computer Science and Engineering, University of Alaska-Anchorage, Anchorage, AK, USA; Department of Computer Science and Engineering, University of Alaska-Anchorage, Anchorage, AK, USA",2015 IEEE 7th International Conference on Engineering Education (ICEED),"14 Apr 2016","2015","","","1","5","Advanced Computer Architecture is an upper-level required course offered by the Department of Computer Science and Engineering at the University of Alaska-Anchorage (UAA). Course content is structured to provide students with a qualitative and quantitative approach to computer architecture, which addresses both the hardware and software aspects of parallelism in modern computing systems. Historically, students were exposed to computer architecture's hardware-centric concepts through traditional textbook publisher provided instructor materials, including system schematic and block diagrams, and cycle-by-cycle hand analysis of short assembly language code snippets. Recorded student achievement outcomes for the course, were just meeting the faculty defined levels. Analysis of student performance indicated a higher-level of course content understanding in students with a mix of both hardware and software skills, and lower achievement levels by those students with only software background and skills. In an attempt to improve overall student understanding and outcome achievement, a reform of course material presentation was initiated which focused on use of microbenchmark programming as a means of introducing selected computer hardware concepts through their programming interfaces. Most computer science students are good programmers and understand high-level languages and algorithms. As such, they are used to tackling new concepts with software, so it was hoped that by linking the instruction of computer architecture hardware concepts with a programmer's perspective, overall student understanding and outcomes would improve.","","978-1-4799-8810-5","10.1109/ICEED.2015.7451481","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7451481","computer architecture;computer science education;computer performance","Computer architecture;Hardware;Benchmark testing;Pipelines;Programming;Software;Computers","","","","10","IEEE","14 Apr 2016","17-18 Nov. 2015","17-18 Nov. 2015","IEEE","IEEE Conferences"
"Computer systems architecture vs quantum computer","K. B. Rao","Computer Science and Engineering Department, Vaageswari College of Engineering, Karimnagar",2017 International Conference on Intelligent Computing and Control Systems (ICICCS),"11 Jan 2018","2017","","","1018","1023","Technology is growing very fast, every day we see new things and changes to technology. There is a lot of history for computer systems. Nearly they are for 60 years. Computer Architecture is changed from day one to till today. Based on Computer Architecture new computer systems are developed. Computer Architecture is different for microcomputer, minicomputer, mainframes, laptops, palmtop, tablets, mobile phones which are used as smart computers. Each device is having its own architectures. These systems are based on Boolean algebra. In this paper we say about quantum computers system with architecture. Quantum Computer is based on using device at required amount. Quantum Computers are one type of supercomputers, can solve lot of problems that which cannot be solved by normal computers. This is 100 times faster than microcomputers. It is based on quantum physics.","","978-1-5386-2745-7","10.1109/ICCONS.2017.8250619","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8250619","Technology;Computer;Computer Architecture;Quantum Computer","Quantum computing;Computer architecture;Quantum mechanics;Microprocessors;Microcomputers;Buildings;Algorithm design and analysis","","4","","14","IEEE","11 Jan 2018","15-16 June 2017","15-16 June 2017","IEEE","IEEE Conferences"
"Quantum Accelerated Computer Architectures","L. Riesebos; X. Fu; A. A. Moueddenne; L. Lao; S. Varsamopoulos; I. Ashraf; J. van Someren; N. Khammassi; C. G. Almudever; K. Bertels","Quantum Computer Architecture Lab, Delft University of Technology, the Netherlands; Quantum Computer Architecture Lab, Delft University of Technology, the Netherlands; Quantum Computer Architecture Lab, Delft University of Technology, the Netherlands; Quantum Computer Architecture Lab, Delft University of Technology, the Netherlands; Quantum Computer Architecture Lab, Delft University of Technology, the Netherlands; Quantum Computer Architecture Lab, Delft University of Technology, the Netherlands; Quantum Computer Architecture Lab, Delft University of Technology, the Netherlands; Quantum Computer Architecture Lab, Delft University of Technology, the Netherlands; Quantum Computer Architecture Lab, Delft University of Technology, the Netherlands; Quantum Computer Architecture Lab, Delft University of Technology, the Netherlands",2019 IEEE International Symposium on Circuits and Systems (ISCAS),"1 May 2019","2019","","","1","4","Modern computer applications usually consist of a variety of components that often require quite different computational co-processors. Some examples of such co-processors are TPUs, GPUs or FPGAs. A more recent and promising technology that is being investigated is quantum co-processors. In this paper, we present a modern computer architecture where a quantum co-processor is included as an additional accelerator. In such an environment, the idea is to execute the application on a heterogeneous architecture where the classic processor will execute the host part, but certain components will be mapped, in our case, on the quantum accelerator. To this purpose, we define the distinct layers for the quantum computer architecture where there is a clear boundary between the host program and quantum kernel(s). We also discuss the opportunities and challenges of mapping hybrid algorithms to such a heterogeneous quantum computer architecture.","2158-1525","978-1-7281-0397-6","10.1109/ISCAS.2019.8702488","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8702488","","Qubit;Computer architecture;Logic gates;Kernel;Computer languages;Field programmable gate arrays","","22","","38","IEEE","1 May 2019","26-29 May 2019","26-29 May 2019","IEEE","IEEE Conferences"
"Teaching and learning support for computer architecture and organization courses design on computer engineering and computer science for undergraduate: A review","W. Kurniawan; M. H. H. Ichsan","Computer Engineering, Brawijaya University, Malang, East Java, Indonesia; Universitas Brawijaya, Malang, Jawa Timur, ID","2017 4th International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)","25 Dec 2017","2017","","","1","6","Understanding computer system hardware is basic for the undergraduate student which study in the computer area. System user always needs a faster, cheap and reliable process which is conducted by it computer system self. To fulfill that process is required how a computer works from their design and how they operate. That course is conducted by Computer Architecture and Organization (CAO) course. Two computer undergraduate area which studies CAO is Computer Engineering (CE) and Computer Science (CS). To support great learning at CAO both CE and CS needs to not just study which has a material course but they had to practically study computer architecture and design by the simulator. Why simulator is chosen, because to create computer such as CPU, RAM etc. needs big systems that can manufacture them. Nowadays too much freely available simulator that can be downloaded and used anytime, but not all simulators meet study requirements and didn't meet the CAO Learning Outcome. CS and CE have an international curriculum that given by ACM Computing Curricula. So this paper is discussed what kind of simulator that meets Computing Curricula requirement to implement at learning process which helps the instructor to choose simulator that can be able to grasp knowledge that delivered to the student.","","978-1-5386-0549-3","10.1109/EECSI.2017.8239076","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8239076","Computer Organization and Architecture;Computer Engineering;Computer Science;Simulator","Organizations;Computer science;Standards organizations;Multicore processing;Instruction sets","","3","","14","IEEE","25 Dec 2017","19-21 Sept. 2017","19-21 Sept. 2017","IEEE","IEEE Conferences"
"Computer Technology in the research on the application of ecological architecture creation","Z. Lei; M. Haipeng","Civil Engineering and Architecture College, Wuhan University of Technology, Architectural Engineering, Xinxiang University, China; Architecture and Civil Engineering Department, Xinxiang University, China",2012 IEEE Symposium on Robotics and Applications (ISRA),"18 Jun 2012","2012","","","801","805","Energy and environment problem is becoming more and more serious today, Ecological architecture as building energy efficiency and sustainable development of important research direction are being gradually getting attention and recognition, A large number of ecological construction theory and practice activities be promotion and implementation. However, ecological architecture as a contains numerous factors of the system, the dynamic design, construction, application and appraisal complexity also directly affect the application of ecological architecture. Through the application of computer technology in various stages of ecological architecture and to assess the rational use of system analysis, which provides effective methods and means for our ecological architecture creation, also brings practical significance to it.","","978-1-4673-2207-2","10.1109/ISRA.2012.6219312","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6219312","Computer technology;Ecological architecture;Ecological architecture Rating System","Buildings;Computers;Architecture;Computer architecture;Computational modeling;Educational institutions;Green buildings","","","","6","IEEE","18 Jun 2012","3-5 June 2012","3-5 June 2012","IEEE","IEEE Conferences"
"Exploring the Synergy: Raspberry Pi, ARM Assembly, Interfacing, and AI in Computer Architecture Course","C. Gerousis; J. McCloud","Department of Physics Computer Science, and Engineering, Christopher Newport University Newport, News, Virginia, USA; Department of Physics Computer Science, and Engineering, Christopher Newport University Newport, News, Virginia, USA",2023 IEEE Asia-Pacific Conference on Computer Science and Data Engineering (CSDE),"5 Apr 2024","2023","","","1","6","In recent years, computer architecture instruction has undergone significant transformation, moving away from a primarily theoretical approach, and placing greater emphasis on practical, hands-on learning. Leading this shift is the Raspberry Pi (RaPi), a credit card-sized computer powered by the versatile Broadcom BCM2835 system-on-a-chip (SoC). RaPi offers an open-source operating system, an extensive software library, and abundant online documentation, creating an ideal environment for dynamic and experiential learning. This paper features the successful integration of RaPi into the computer architecture curriculum at CNU, with a primary focus on hands-on labs. These labs cover diverse topics, including RaPi setup and connectivity, low-level programming, Python-based sensor interfacing, and AI-driven image processing for object detection and recognition. The paper provides valuable insights for educators looking to incorporate this single-board computer into their teaching methods, highlighting its multifaceted applications in AI and computer architecture to enhance students' learning experience.","","979-8-3503-4107-2","10.1109/CSDE59766.2023.10487698","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10487698","Computer Architecture;Raspberry Pi;Internet of Things;OpenCV","Surveys;Software libraries;Operating systems;Education;Computer architecture;Software;Hardware","","","","18","IEEE","5 Apr 2024","4-6 Dec. 2023","4-6 Dec. 2023","IEEE","IEEE Conferences"
"An XML-Based ADL Framework for Automatic Generation of Multithreaded Computer Architecture Simulators","C. Barnes; P. Vaidya; J. J. Lee","ECE Department, Purdue School of Engineering and Technology, IUPUI, USA; ECE Department, Purdue School of Engineering and Technology, IUPUI, USA; ECE Department, Purdue School of Engineering and Technology, IUPUI, USA",IEEE Computer Architecture Letters,"12 Jun 2009","2009","8","1","13","16","Computer architecture simulation has always played a pivotal role in continuous innovation of computers. However, constructing or modifying a high quality simulator is time consuming and error-prone. Thus, often Architecture Description Languages (ADLs) are used to provide an abstraction layer for describing the computer architecture and automatically generating corresponding simulators. Along the line of such research, we present a novel XML-based ADL, its compiler, and a generation methodology to automatically generate multithreaded simulators for computer architecture. We utilize the industry-standard extensible markup language XML to describe the functionality and architecture of a modeled processor. Our ADL framework allows users to easily and quickly modify the structure, register set, and execution of a modeled processor. To prove its validity, we have generated several multithreaded simulators with different configurations based on the MIPS five-stage processor, and successfully tested with two programs.","1556-6064","","10.1109/L-CA.2009.2","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4814923","Modeling of computer architecture;Pipeline processors","Computer architecture;Computational modeling;Computer simulation;Object oriented modeling;Concurrent computing;XML;Kernel;Architecture description languages;Testing;Pipelines","","2","","14","IEEE","17 Apr 2009","Jan.-June 2009","","IEEE","IEEE Journals"
"A Digital Design and Computer Architecture MOOC","D. Harris; J. Brake; S. L. Harris","Department of Engineering, Harvey Mudd College, Claremont, CA, USA; Department of Engineering, Harvey Mudd College, Claremont, CA, USA; Electrical and Computer Eng., University of Nevada, Las Vegas, NV, USA",2021 ACM/IEEE Workshop on Computer Architecture Education (WCAE),"15 Feb 2022","2021","","","1","6","This paper describes a pair of Massive Open Online Courses (MOOC) hosted by EdX accompanying the authors’ new Digital Design and Computer Architecture RISC-V Edition textbook. A MOOC has the potential to make high-quality education widely available to diverse audiences. However, we find that developing a MOOC requires a tremendous amount of time, that our students prefer face-to-face learning, and that the walled-garden nature of current MOOCs is a deterrent to external audiences.CCS CONCEPTS• Architectures • Embedded Systems • E-learning • Distance learning","","978-1-6654-0001-5","10.1109/WCAE53984.2021.9707613","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9707613","Digital design;computer architecture;embedded systems;e-learning;education","Computer aided instruction;Electronic learning;Embedded systems;Conferences;Education;Computer architecture;Software","","10","","4","IEEE","15 Feb 2022","17-17 June 2021","17-17 June 2021","IEEE","IEEE Conferences"
