"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Application of neural network in computer network security evaluation","X. Luo","Tianjin University of Technology, Tianjin, China","2023 International Conference on Networking, Informatics and Computing (ICNETIC)","6 Sep 2023","2023","","","144","148","With the rapid development of computer network technology, it is gradually applied in people’s daily production and life, but in actual use, it can not avoid the reality, that is, there will be hacker intrusion, security holes and virus propagation, and the application of neural network can just make up for this defect, so as to achieve information calculation, control and recognition, and thus improve the security performance and work efficiency of computer network use. This paper mainly starts from the overview of neural network and computer network, analyzes the application of neural network in computer network security evaluation, and conducts in-depth research on computer network security evaluation simulation model of neural network for reference and improvement of the industry.","","979-8-3503-1331-4","10.1109/ICNETIC59568.2023.00036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10236796","neural network;computer network security","Industries;Computer viruses;Computer hacking;Neural networks;Production;Network security;Computer networks","","1","","6","IEEE","6 Sep 2023","29-31 May 2023","29-31 May 2023","IEEE","IEEE Conferences"
"Discussion and Practice of Computer Network Information and Network Security Protection Strategy","L. Liu","Shandong Xiehe University, Jinan, Shandong, P.R. China","2020 5th International Conference on Mechanical, Control and Computer Engineering (ICMCCE)","13 May 2021","2020","","","1810","1813","With the development of science and technology, especially the application of big data technology, the role of computer networks has become more and more significant. Computer network has a profound impact on people's life and work, and has even become a part of life and work. However, computer network technology has also exposed some problems while providing convenience to people's lives. For example, the resulting information security issues pose a threat to people's personal privacy, corporate security, national security, etc., thereby affecting the sustainable development of computer network technology. Based on this, we must strengthen the research on computer network security. In particular, it is necessary to strengthen the research on the phenomenon of computer network information leakage and its causes, and strengthen the computer network security management. At the same time, we should also take necessary preventive measures from both technical and management aspects to ensure the safety of computer network information and reduce computer network threats. In view of this, this article will analyze and explore the current factors affecting computer network security on the basis of related concepts of computer network information security. The author analyzes how we should strengthen defenses from the perspective of technology and management to ensure the security of network information.","","978-1-6654-2314-4","10.1109/ICMCCE51767.2020.00397","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9421422","Computer Network Information;Network Security;Security Defense","Computer viruses;Computer hacking;Security management;Information security;Computer networks;Time measurement;Security","","3","","3","IEEE","13 May 2021","25-27 Dec. 2020","25-27 Dec. 2020","IEEE","IEEE Conferences"
"A Computer Virus Propagation Model in P2P Networks","M. Liu; L. Han; F. Hong; M. Zou","School of Computer Science and Technology, HUST, Wuhan, China; School of Computer Science and Technology, HUST, Wuhan, China; School of Computer Science and Technology, HUST, Wuhan, China; School of Computer Science and Technology, HUST, Wuhan, China",2009 First International Workshop on Education Technology and Computer Science,"26 May 2009","2009","1","","578","581","Computer viruses are great threats to the operating system and the computer network. In order to handle those emergent situations might appear in the future and make corresponding policies immediately; thorough researches of computer virus propagation are very important and urgently needed. But the spreading methods of computer viruses are different; one simple model is unable to describe all the viruses. On the contrary, different models should be proposed according to the features of different types of viruses. This article proposed a computer virus propagation model to describe those viruses spreading through the P2P file-sharing network. This model took the files in the network as subjects instead of the computers,which are always adopted in the traditional models. It also introduced the notion of hot degree and file-type suitability degree over the sharing files to illustrate the virus propagation more specifically. Valuable conclusions we regained from the model. And the simulation data of this model accorded with the actual statistical data very well.","","978-1-4244-3581-4","10.1109/ETCS.2009.137","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4958840","computer virus model;information security;network security","Computer networks;Computer viruses;Computer science;Peer to peer computing;Educational technology;Information security;Computer worms;Computer science education;Operating systems","","6","","5","IEEE","26 May 2009","7-8 March 2009","7-8 March 2009","IEEE","IEEE Conferences"
"Computer network connection enhancement optimization algorithm based on convolutional neural network","H. Li","Sichuan University, Chengdu, China","2021 International Conference on Networking, Communications and Information Technology (NetCIT)","11 Mar 2022","2021","","","281","284","Computer network topological structure is a kind of physical composition mode, which is composed of three aspects, namely, network computers or network equipment, nodes and lines in network transmission media. > This type of optimization problem is often solved when expanding the topology of a computer network. This paper establishes a reasonable network structure model based on the convolutional neural network to express the complex nonlinear relationship in the computer network connection, and proposes an optimization algorithm based on the characteristics of the computer network. I hope to provide some reference and reference for promoting the use of convolutional neural networks in computer networks.","","978-1-6654-0070-1","10.1109/NetCIT54147.2021.00063","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9731294","Convolutional neural network algorithm;computer network topology;network characteristics","Network topology;Computational modeling;Neural networks;Linear programming;Computer networks;Topology;Convolutional neural networks","","15","","16","IEEE","11 Mar 2022","26-27 Dec. 2021","26-27 Dec. 2021","IEEE","IEEE Conferences"
"Network Situation Features Extraction Method of Computer Network Based on Knowledge Graph","L. -Q. Deng; Y. -F. Wu; J. -Y. Wang; B. Wang","Department of Command Information System and Network, Air Force Communication NCO Academy, Dalian, China; Department of Command Information System and Network, Air Force Communication NCO Academy, Dalian, China; Department of Command Information System and Network, Air Force Communication NCO Academy, Dalian, China; Department of Command Information System and Network, Air Force Communication NCO Academy, Dalian, China","2022 3rd International Conference on Computer Vision, Image and Deep Learning & International Conference on Computer Engineering and Applications (CVIDL & ICCEA)","18 Jul 2022","2022","","","484","488","A feature extraction method of network situation based on knowledge graph is proposed for network situation assessment. The knowledge graph of network flow is constructed by knowledge graph technology. Combined with graph algorithm and complex network feature analysis method, different types of node features and overall network features in network situation are extracted, so as to obtain the importance ranking of nodes and the overall evaluation value of network situation. The experimental results show that the algorithm can accurately locate the key node information in the computer network and scientifically describe its network connection relationship, which provides an effective means for the network to achieve more efficient management and maintenance.","","978-1-6654-5911-2","10.1109/CVIDLICCEA56201.2022.9824397","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9824397","network situation;knowledge graph;feature extraction;computer network","Knowledge engineering;Complex networks;Maintenance engineering;Feature extraction;Computer networks","","1","","12","IEEE","18 Jul 2022","20-22 May 2022","20-22 May 2022","IEEE","IEEE Conferences"
"Multicast routing in bus-based computer networks","P. McKinley; J. W. S. Liu","Department of Computer Science, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Department of Computer Science, University of Illinois, Urbana-Champaign, Urbana, IL, USA",[1988] Proceedings. Computer Networking Symposium,"6 Aug 2002","1988","","","277","287","The authors address multicast routing of integrated voice, video, and messages in bus-based computer networks, particularly in grids of buses. Graph theoretical formulations of the multicast routing problem are presented and an algorithm is given that produces optimal multicast routes in grids of buses. The performance of this algorithm is compared with that of heuristic algorithms. Finally, the bilevel grid, a hierarchical grid topology, is described, and an algorithm is given that produces optimal multicast routes in such networks.<>","","0-8186-0835-8","10.1109/CNS.1988.5006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5006","","Routing;Intelligent networks;Computer networks;Multicast algorithms;Multicast communication;Optical fiber networks;Heuristic algorithms;Network topology;Optical fibers;Broadcasting","","2","9","","IEEE","6 Aug 2002"," 1988"," 1988","IEEE","IEEE Conferences"
"Research of computer network curriculum system based on the unique feature of finance and economics colleges","R. Wang","College of Information, Xi'an University of Finance and Economics, Xi'an, China","2011 International Conference on Consumer Electronics, Communications and Networks (CECNet)","16 May 2011","2011","","","3401","3403","This paper proposes a new idea for the educational reform of computer network curriculum in the finance and economics colleges, which can be performed relying on the predominance and unique features of the finance and economics colleges. The orientation of the computer network curriculum is for economic system, based on this, the corresponding course system is proposed, the characteristic teaching and practice contents are established rationally, the cultivation of distinctive specialists for computer network can be guaranteed.","","978-1-61284-459-6","10.1109/CECNET.2011.5769497","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5769497","computer network curriculum;finance and economics colleges;unique feature","Finance;Computer networks;Economics;Educational institutions;Fires;Computers","","","","","IEEE","16 May 2011","16-18 April 2011","16-18 April 2011","IEEE","IEEE Conferences"
"Application of Collaborative Filtering Algorithm in Computer Network Security Technology Evaluation","H. Wang","Hunan Institute of Transportation Engineering, Hengyang, Hunan, China",2023 International Conference on Data Science and Network Security (ICDSNS),"22 Sep 2023","2023","","","1","6","After entering the 21st century, with the rapid development of the economy, people's living standards are also constantly improving, especially the use and popularization of computers. Computers have penetrated into every aspect of people's lives and work, and the use of networks is also becoming increasingly widespread. This is a new challenge to computer networks. For example, virus intrusion, malicious code, massive sending of malicious information, data theft, data leakage, and other issues are becoming increasingly serious. At present, billions of computer viruses have been invaded globally, causing great impact on people's daily lives and posing great harm to computer systems. The prevention and control of computer virus has become a hot issue in many countries and regions in the world. The security protection of computer networks is the key to ensuring their normal operation and normal operation. Currently, the security of computer networks is a very important issue. The article mainly discussed the security of computer networks in the following aspects.","","979-8-3503-0159-5","10.1109/ICDSNS58469.2023.10245824","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10245824","collaborative filtering algorithm;network security;security technology;computer network","Computers;Technology management;Computer viruses;Collaborative filtering;Network security;Computer networks;Viruses (medical)","","2","","20","IEEE","22 Sep 2023","28-29 July 2023","28-29 July 2023","IEEE","IEEE Conferences"
"Research on Computer network course in Information Management and Information System","Yong-min Lin; Wei-dong Zhu","College of Economics and Management, Hebei Polytechnic University, Tangshan, China; School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China",2010 2nd International Conference on Education Technology and Computer,"29 Jul 2010","2010","4","","V4-175","V4-177","Based on the problems of Computer Network teaching in Information Management and Information System, this paper studies teaching reform in Computer Network courses from the respect of teaching orientation locating, teaching content, teaching methods, experimental teaching, teachers building, and proposes a practical implementation plan. The teaching practice shows that basic theory combining with experimental projects in teaching process can contribute to train the application ability of students in the field of computer networks.","2155-1812","978-1-4244-6370-1","10.1109/ICETC.2010.5529707","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5529707","Computer network;teaching reform;case teaching;network simulation;Information Management and Information System","Computer network management;Information management;Management information systems;Education;Application software;Management training;Computer networks;Content management;Technology management;Financial management","","","","5","IEEE","29 Jul 2010","22-24 June 2010","22-24 June 2010","IEEE","IEEE Conferences"
"Research on reform of teaching contents and methods of “computer network” to the local university","Zeng-gang Xiong; Xue-min Zhang; Yun Xie; Jian-xin Chen","School of Computer and Information Science, Xiaogan University, Xiaogan, China; School of Computer and Information Science, Xiaogan University, Xiaogan, China; School of Computer and Information Science, Xiaogan University, Xiaogan, China; School of Computer and Information Science, Xiaogan University, Xiaogan, China",2010 International Conference on E-Health Networking Digital Ecosystems and Technologies (EDT),"28 Jun 2010","2010","2","","218","220","Computer network is a core course for students in computer science and technology major. The reform of teaching contents and methods of computer network to local university is proposed in this paper, including the following aspects: Using original edition textbook in English and adopting bilingual teaching in class; Introducing advanced contents into the course; Innovating teaching methods according student's requirement and the characteristics. It is necessary to take into account the basic theory teaching of computer network, but also pay attention to student's application skills for computer network.","","978-1-4244-5517-1","10.1109/EDT.2010.5496389","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5496389","computer network;teaching reform;teaching method;local university","Education;Computer networks;Application software;Computer network management;Computer science;Programming profession;Information science;Cities and towns;Protocols;Solids","","3","","12","IEEE","28 Jun 2010","17-18 April 2010","17-18 April 2010","IEEE","IEEE Conferences"
