"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Curriculum of Embedded System for Software Colleges","W. Hongxing; W. Tianmiao","Robotics Institute, Beihang University, China; Robotics Institute, Beihang University, China",2006 2nd IEEE/ASME International Conference on Mechatronics and Embedded Systems and Applications,"29 Jan 2007","2006","","","1","5","Embedded system has already been applied in numerous fields, such as the industry control system, information appliances, communication equipments, medical instruments, intelligence instruments and so on. As processors become more powerful, electronic products become more complex. Embedded system designers are able to include design features traditionally associated with personal computer (PC) including graphical user interfaces, TCP/IP networking, and database management. For introducing knowledge of embedded system to student of Master of Software Engineering (MSE), the Software College at Tsinghua University and Beihang University had an opportunity to add technical electives for embedded system, the author received approval to teach embedded system design course. This paper describes the development and implementation of that course toward the goal of teaching students the hardware considerations, software considerations, and design processes involved in embedded system design. In the end, the teaching effect of course for embedded system design is analyzed","","0-7803-9721-5","10.1109/MESA.2006.296948","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4077775","Embedded System;Embedded Software;Curriculum;Microprocessor;Real Time Operating System;Software Colleges","Embedded system;Embedded software;Software systems;Educational institutions;Instruments;Education;Communication industry;Electrical equipment industry;Industrial control;Medical control systems","","4","","10","IEEE","29 Jan 2007","13-16 Aug. 2006","13-16 Aug. 2006","IEEE","IEEE Conferences"
"A Co-design Flow for Reconfigurable Embedded Computing System with RTOS Support","X. -W. Wang; W. -N. Chen; Y. Wang; C. -L. Peng","School of Computer Science and Technology, Fudan University, Shanghai, China; School of Computer Science and Technology, Fudan University, Shanghai, China; School of Computer Science and Technology, Fudan University, Shanghai, China; School of Computer Science and Technology, Fudan University, Shanghai, China",2009 International Conference on Embedded Software and Systems,"5 Jun 2009","2009","","","467","474","Reconfigurable system provides both flexibility of software and performance of hardware. It is a significant trend in embedded application domain. Some new reconfigurable technologies and technology-dependent tools have been developed, but the whole design flow for run-time reconfigurable systems with real-time operating system support is not proposed. RTOS plays an important role in the system and the co-design flow. The special requirements for reconfigurable embedded systems with RTOS support are analyzed, and a novel co-design flow is proposed in this paper. A design case is presented here, which shows the co-design flows of the implementation of an adaptive signal filtering system on a commercially available reconfigurable platform. The results show that using run-time reconfiguration can save over 66% area when compared to a functionally equivalent fixed system and achieve 24 times speedup in processing time when compared with a functionally equivalent pure software design.","","978-1-4244-4359-8","10.1109/ICESS.2009.84","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5066685","Reconfigurable embedded computing system;Co-Design Flow;RTOS Support;unified hardware task interface","Embedded computing;Software performance;Hardware;Application software;Real time systems;Operating systems;Embedded system;Signal design;Adaptive systems;Adaptive filters","","2","","18","IEEE","5 Jun 2009","25-27 May 2009","25-27 May 2009","IEEE","IEEE Conferences"
"Analysis of Embedded Linux Using Kernel Analysis System","K. Kwon; M. Sugaya; T. Nakajima","Department of Computer Science and Engineering, Waseda University, Shinjuku, Tokyo, Japan; Dependable Embedded OS Center, Japan Science and Technology Agency, Tokyo, Japan; Department of Computer Science and Engineering, Waseda University, Shinjuku, Tokyo, Japan",2009 International Conference on Embedded Software and Systems,"5 Jun 2009","2009","","","417","422","Recently, for embedded systems, the complexity of the software is rapidly increasing due to the advancement in the fields of multimedia and network. Due to these developments, it is difficult to find the cause of problems in system. This is especially true when the causes of problems are buried in the kernel layer, finding them more difficult to compare with the user layer. One reason of the difficulties comes from that there are no effective system which can analyze kernel problem available for developers.In this paper, we propose a system named Kernel Analysis System (KAS) that can find errors and bugs in kernel. As a case study, the KAS find timer latency which is serious problem for the real-time processing system in kernel layer. It can effectively find the problem and support to find the cause of them. In the future, we try to generalize the system to find the other problems and causes to support the developers.","","978-1-4244-4359-8","10.1109/ICESS.2009.74","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5066677","Kernel Analysis System;Timer latency;High resolution timer;Embedded kernel;System analysis","Linux;Kernel;Embedded system;Delay;Computer bugs;Embedded software;Application software;Multimedia systems;Automobiles;Computer science","","","","17","IEEE","5 Jun 2009","25-27 May 2009","25-27 May 2009","IEEE","IEEE Conferences"
"Curriculum Development and Progressive Engineering Practice Design in Embed System Education","L. xiaojuan; G. Yong; Y. Huimei","College ofInformation Engineering, Capital Normal University, China; College ofInformation Engineering, Capital Normal University, China; College ofInformation Engineering, Capital Normal University, China",2008 IEEE/ASME International Conference on Mechtronic and Embedded Systems and Applications,"30 Dec 2008","2008","","","228","232","The development of courses system for embed system and the exploration of realistic embedded systems design experience for students are described in the paper. The design pay more attention on developing students's professional skills that will serve students well in their careers besides the requisite related basic theory. The curriculum design is shaped into two technology courses mainstreams, one is for universal processors system and the other focus on system on programmable chip (SOPC), a novel schedule of embedded systems education with professional engineering practice and progressive cooperative experiential learning is putted forward. The effect of the schedule from lecturers' response and student's assessment comments show that it is effective to develop the student's engineering practice, teamwork and active-learning skills.","","978-1-4244-2367-5","10.1109/MESA.2008.4735752","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4735752","embeded system curriculum;course design;Professional engineering practice;progressive experience","Curriculum development;Design engineering;Systems engineering education;Embedded system;Embedded computing;Engineering profession;Embedded software;Software design;Systems engineering and theory;Processor scheduling","","5","","10","IEEE","30 Dec 2008","12-15 Oct. 2008","12-15 Oct. 2008","IEEE","IEEE Conferences"
"Framework for Automated Application-Specific Optimization of Embedded Real-Time Operating Systems","M. Sindhwani; T. Srikanthan","Centre for High Performance Embedded Systems, Nanyang Technological University, Singapore; Centre for High Performance Embedded Systems, Nanyang Technological University, Singapore",2005 5th International Conference on Information Communications & Signal Processing,"11 Sep 2006","2005","","","1416","1420","In recent years, embedded systems have become increasingly more complex. This complexity is tackled in software by abstracting the underlying hardware using an embedded real-time operating system (RTOS) and a suitable board support package (BSP). However, the RTOS imposes overheads on the CPU in return for the run-time support it provides. Modern embedded hardware often comprises multi-core processors, unified core processors, soft-core processors, dedicated hardware logic, or even a system-on-chip. Each of these hardware options can be used to reduce the CPU overhead of the RTOS and numerous methods have been proposed in literature. Due to the large number of optimization options available and the need to meet strict time-to-market pressures, RTOS optimization needs to be a largely autonomous process. In this paper, we present a framework for automated application-specific optimization of embedded real-time operating systems. We identify the components of such a framework and discuss our prototype of the framework","","0-7803-9283-3","10.1109/ICICS.2005.1689291","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1689291","real-time operating system;RTOS;optimization;framework;embedded systems","Real time systems;Operating systems;Hardware;Embedded system;Embedded software;Software packages;Packaging;Runtime;Multicore processing;Logic","","4","","15","IEEE","11 Sep 2006","6-9 Dec. 2005","6-9 Dec. 2005","IEEE","IEEE Conferences"
"Design and Implementation of Secure Embedded Systems Based on Trustzone","X. Yan-ling; P. Wei; Z. Xin-guo","School of Automation, Northwestern Polytechnical University, Xi'an, China; School of Computer Science, Northwestern Polytechnical University, Xi'an, China; School of Automation, Northwestern Polytechnical University, Xi'an, China",2008 International Conference on Embedded Software and Systems,"12 Aug 2008","2008","","","136","141","Embedded system serves as one of crucial components needed for various applications and services in pervasive computing environment. Security problems related to embedded systems directly influence credibility of these applications and services. In order to effectively eliminate weaknesses in current embedded systems and strongly enhance safety practices of these systems, this paper proposes a Trustzone-based secure enhancement framework for embedded system. This framework consists of a multi-policy access control mechanism and a secure reinforcement method. The multi-policy access control mechanism establishes multiple secure policies by utilizing the Domain and Type Enforcement (DTE) model and an improved Bell-La Padula (BLP) model, and the secure reinforcement method provides powerful safeguards through the employment of Linux Security Module (LSM) framework. We construct a secure embedded system environment based on TrustZone technique and secure Linux system. A prototype system founded on ARM Linux achieves rational combination of secure operating system and trustworthy hardware techniques and thus ensures diversified applications and services safety.","","978-0-7695-3287-5","10.1109/ICESS.2008.59","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4595549","Secure embedded system;Linux Security Module;TrustZone;Mandatory access control;Domain and Type Enforcement;Trustworthy hardware","Security;Embedded system;Access control;Operating systems;Linux;Kernel;Computer architecture","","8","2","8","IEEE","12 Aug 2008","29-31 July 2008","29-31 July 2008","IEEE","IEEE Conferences"
"COS: A Configurable OS for Embedded SoC Systems","Hsin-hung Lin; Chih-Wen Hsueh","Real-Time Systems Laboratory, Department of Computer Science and Information Engineering, National Chung Cheng University, Chiayi, Taiwan; Embedded System and Wireless Networking Laboratory, Graduate Institute of Networking and Multimedia and Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan",12th IEEE International Conference on Embedded and Real-Time Computing Systems and Applications (RTCSA'06),"11 Sep 2006","2006","","","242","245","As the increasing of system performance and computing power, embedded systems are more complicated and interactive. Therefore, operating system (OS) plays a more important role in embedded systems to utilize various hardware and software resources. However, no OS can meet all requirements of various embedded systems. Due to the advance of reconfigurable processors, system requirements can be more dynamic. Embedded OS has becoming more critical in the development of embedded systems and thus there is a strong need of configurable embedded OS to better and faster build up the target system. In this paper, we propose a configurable OS, called COS, based on SOA (service-oriented architecture) for embedded SoC (system on a chip) systems to build an application specific OS according to the system requirements. COS can be easily configured to better utilize the resources of the target embedded platform and have better support to the embedded application. Moreover, the COS can easily extend new features or functionalities of other OSes and even be adapted to the designs of other OSes. We implement COS on an ARM platform to prove its configurability and also evaluate its overhead. We believe that COS can be configured to meet the various requirements in embedded SoC systems and help to speed up the embedded system development process","2325-1301","0-7695-2676-4","10.1109/RTCSA.2006.24","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1691319","Configurable OS;Service-Oriented Architecture;SoC;Embedded OS.","Embedded system;Kernel;System-on-a-chip;Service oriented architecture;Operating systems;Real time systems;Laboratories;Computer science;Power engineering and energy;System performance","","2","","10","IEEE","11 Sep 2006","16-18 Aug. 2006","16-18 Aug. 2006","IEEE","IEEE Conferences"
"Embedded Energy Monitoring System for Solar Applications","L. R. Islas-Estrada; D. A. Flores-Hernández","Applied Dynamic Systems Laboratory, Instituto Politécnico Nacional-UPIITA, Mexico City, Mexico; Applied Dynamic Systems Laboratory, Instituto Politécnico Nacional-UPIITA, Mexico City, Mexico",IEEE Embedded Systems Letters,"17 Dec 2025","2025","17","6","386","389","In recent years, the use of solar technology as an alternative to conventional methods of electricity generation has increased. However, they have a low conversion efficiency; one way to increase energy production is by using solar tracking systems (STS), which cause energy expenditure. Monitoring systems are required to calculate the energy balance between produced and consumed. In this research, the design and implementation from a concurrent approach of an embedded system for energy monitoring in solar applications is presented, obtaining a low energy consumption, high connectivity, scalable, modular, and open architecture system. Experimental tests were carried out considering five proposed energy-saving strategies. These tests recorded the energy consumption of actuators, electronic hardware, and generated power, resulting in a 16.47% increase in the energy budget and a reduction in the global power consumption of 7.27%. Notably, the developed embedded system exhibited a low energy consumption of 0.326 Wh.","1943-0671","","10.1109/LES.2025.3545798","Instituto Politécnico Nacional—Secretaría de Investigación y Posgrado(grant numbers:SIP-20240618,SIP-20250023); Consejo Nacional de Humanidades, Ciencias y Tecnologías CONAHCYT(grant numbers:CF-2023-I-1635); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10904184","Data logging;embedded system;energy consumption;monitoring;solar tracking system (STS)","Monitoring;Batteries;Voltage measurement;Real-time systems;Energy consumption;Solar tracking;Production;Embedded systems;Battery charge measurement;Bluetooth","","","","15","IEEE","25 Feb 2025","Dec. 2025","","IEEE","IEEE Journals"
"Implementation of lightweight graphic library builder for embedded system","SungHo Ahn; DongMyung Sul; SeungHan Choi; KyungHee Lee","Embedded S/W Research Division, Electronics and Telecommunications Research Institute, Daejeon, South Korea; Embedded S/W Research Division, Electronics and Telecommunications Research Institute, Daejeon, South Korea; Embedded S/W Research Division, Electronics and Telecommunications Research Institute, Daejeon, South Korea; Embedded S/W Research Division, Electronics and Telecommunications Research Institute, Daejeon, South Korea",2006 8th International Conference Advanced Communication Technology,"8 May 2006","2006","1","","3 pp.","168","In this paper, we just glance at the Qt and GTK, which are representatives of graphic library for an embedded linux system. And we also show what is the GTK+ in developing the software for the embedded system and its features and components. We describe the implementation of the lightweight GTK builder, which generates the proper graphic library to any special embedded linux system and also analyzes any GTK application's graphic library.","","89-5519-129-4","10.1109/ICACT.2006.205944","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1625549","Lightweight;Qt;GTK+;Embedded System","Graphics;Embedded system;Software libraries;Linux;Embedded software;Licenses;Graphical user interfaces;Hardware;Application software;Kernel","","5","","3","","8 May 2006","20-22 Feb. 2006","20-22 Feb. 2006","IEEE","IEEE Conferences"
"Fault indulgent in embedded memory using WCET real-time embedded system","D. Divya; A. Karthikeyan; G. Panneerselvam","DR. Rangarajan DR. Sakunthala Engg. College, Embedded System Technologies of VelTech MultiTech; EEE Department, VelTech MultiTech DR. Rangarajan DR. Sakunthala Engg. College, Chennai; EEE Department, VelTech MultiTech DR. Rangarajan DR. Sakunthala Engg. College, Chennai",International Conference on Information Communication and Embedded Systems (ICICES2014),"9 Feb 2015","2014","","","1","6","The growing density of integration and the increasing percentage of system-on-chip memory occupied by embedded programs have led to an increase in the expected amount of power consumption. In order to reduce the integrity and iterations of the embedded programs the WCET has been implemented. By monitoring the Worst Case Execution time we can reduce the clock cycles required by each instruction of the program, which analogously increases the memory consumption based on both RAM and ROM memory in the embedded system and also power consumption criteria. In this paper, a compiler level optimization, namely WCET-aware rescheduling register allocation, is proposed to achieve WCET minimization for realtime embedded systems. The novelty of the proposed approach is that the effects of register allocation, instruction scheduling, and cluster assignment on the quality of generated code are taken into account for WCET minimization. Three compilation processes are integrated into a single phase balanced result obtained with 6kbytes of ROM reduction from 8kbytes.","","978-1-4799-3834-6","10.1109/ICICES.2014.7034159","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7034159","embedded;memory;worst case execution time (WCET);fault tolerance;Instruction-level Parallelism (ILP)","Random access memory;Registers;Resource management;Read only memory;Programming;Real-time systems;Embedded systems","","1","","15","IEEE","9 Feb 2015","27-28 Feb. 2014","27-28 Feb. 2014","IEEE","IEEE Conferences"
