"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"IEEE Draft Standard for Framework of Blockchain-based Internet of Things (IoT) Data Management","",,"P2144.1/D2, July 2020","20 Jul 2020","2020","","","1","18","A framework of blockchain-based Internet of Things (IoT ) data management is defined in this standard. It identifies the common building blocks of the framework that blockchain enabled during IoT data lifecycle including data acquisition, processing, storage, analyzing, usage/exchange and obsoletion, and the interactions among these building blocks.","","978-1-5044-6868-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9144682","data management;IEEE 2144.1™;internet of things;trust data","IEEE Standards;Internet of Things;Blockchain;Information management;Data analytics","","","","","","20 Jul 2020","16 July 2020","","IEEE","IEEE Standards"
"IEEE Draft Standard for Framework of Blockchain-based Internet of Things (IoT) Data Management","",,"IEEE P2144.1/D3, August 2020","9 Sep 2020","2020","","","1","20","A framework of blockchain-based Internet of Things (IoT ) data management is defined in this standard. It identifies the common building blocks of the framework that blockchain enabled during IoT data lifecycle including data acquisition, processing, storage, analyzing, usage/exchange and obsoletion, and the interactions among these building blocks.","","978-1-5044-6985-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9190120","data management;IEEE 2144.1™;internet of things;trust data","IEEE Standards;Blockchain;Internet of Things;Information management;Trust management","","","","","","9 Sep 2020","8 Sept. 2020","","IEEE","IEEE Standards"
"IEEE Approved Draft Standard for Framework of Blockchain-based Internet of Things (IoT) Data Management","",,"IEEE P2144.1/D3, August 2020","26 Jan 2021","2021","","","1","20","A framework of blockchain-based Internet of Things (IoT ) data management is defined in this standard. It identifies the common building blocks of the framework that blockchain enabled during IoT data lifecycle including data acquisition, processing, storage, analyzing, usage/exchange and obsoletion, and the interactions among these building blocks.","","978-1-5044-6985-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9336374","data management;IEEE 2144.1™;internet of things;trust data","IEEE Standards;Internet of Things;Trust management;Information management;Data processing;Blockchains","","","","","","26 Jan 2021","25 Jan. 2021","","IEEE","IEEE Standards"
"Internet of Things Security - Multilayered Method For End to End Data Communications Over Cellular Networks","C. Lee; A. Fumagalli","AT&T Labs - Ecosystems & Innovation, Internet of Things Foundry, Plano, Texas, United States of America; Open Networking Adv. Res. (OpNeAR) Lab, The University of Texas at Dallas, Richardson, Texas, United States of America",2019 IEEE 5th World Forum on Internet of Things (WF-IoT),"22 Jul 2019","2019","","","24","28","The aim of this paper is to put forth a multilayered method for securing data transport from a cellular connected Internet of Things device to a host through a cellular network. This method employs many interlocking security elements - described in this paper - that when implemented in their totality provide a highly secure connectivity solution.","","978-1-5386-4980-0","10.1109/WF-IoT.2019.8767227","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8767227","Internet of Things;Security","Internet of Things;Authentication;IP networks;Computer architecture;Data centers","","56","","5","IEEE","22 Jul 2019","15-18 April 2019","15-18 April 2019","IEEE","IEEE Conferences"
"AssIUT IOT: A Remotely Accessible Testbed for Internet of Things","M. AbdelHafeez; M. AbdelRaheem","Electrical Engineering Department, Assiut University, Assiut, Egypt; Electrical Engineering Department, Assiut University, Assiut, Egypt",2018 IEEE Global Conference on Internet of Things (GCIoT),"20 Jan 2019","2018","","","1","6","Internet of Thins is a paradigm in which things (devices) communicate with each other and with a cloud platform to perform a set of tasks includes monitoring and controlling the device or the surrounding environment. In this paper, we introduce the basic architecture of AssIUT IoT a remotely accessible testbed designed for IoT applications. The testbed adopts Experiment as a Service (EaaS) model as it provides a suitable and easy way to remotely implement experiments related to IoT applications. We provide details about the testbed design and architecture from hardware and software point of views. Also, we provide some examples of the experiments which can be implemented using our testbed.","","978-1-5386-8509-9","10.1109/GCIoT.2018.8620157","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8620157","Internet of Things;Testbed","Internet of Things;Sensors;Portals;Hardware;Zigbee;Servers;Cloud computing","","10","","13","IEEE","20 Jan 2019","5-7 Dec. 2018","5-7 Dec. 2018","IEEE","IEEE Conferences"
"IEEE Draft Guide to Assess the Electromagnetic Fields (EMF) Exposure of Internet of Things (IoT) Technologies/Solutions","",,"IEEE P1528.7/D2.00, August 2020","28 Jul 2020","2020","","","1","93","In the wireless communication field, 5G and Internet of Things (IoT) solutions are the main emerging technologies and future wireless communication will rely on them. A methodology for classifying IoT devices based on radio frequency (RF) exposure characteristics is provided. Classification is based on frequency, bandwidth, radiated power, and typical installation configuration. Links between device class and available measurement/computational standards are provided. A framework criterion for exclusion classes for exposure assessment and criteria for addressing situations where exposure assessment is unavailable are included.","","978-1-5044-6885-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9151429","exposure to electromagnetic fields;IEEE 1528™;Internet of Things devices;multiple IoT devices","IEEE Standards;Electromagnetic fields;Internet of Things","","","","","","28 Jul 2020","27 July 2020","","IEEE","IEEE Standards"
"IEEE Draft Standard for an Architectural Framework for the Internet of Things (IoT)","",,"IEEE P2413/D0.4.5, December 2018","27 Dec 2018","2018","","","1","264","An architecture framework description for the Internet of Things (IoT) which conforms to the international standard ISO/IEC/IEEE 42010:2011 is defined. The architecture framework description is motivated by concerns commonly shared by IoT system stakeholders across multiple domains (transportation, healthcare, Smart Grid, etc.). A conceptual basis for the notion of things in the IoT is provided and the shared concerns as a collection of architecture viewpoints is elaborated to form the body of the framework description.","","978-1-5044-5457-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8591947","architectural framework;IEEE 2413;Internet of Things (IoT)","IEEE Standards;Internet of Things;Computer architecture","","","1","","","27 Dec 2018","24 Dec. 2018","","IEEE","IEEE Standards"
"IEEE Draft Standard for an Architectural Framework for the Internet of Things (IoT)","",,"IEEE P2413/D0.4.6, March 2019","20 Mar 2019","2019","","","1","265","An architecture framework description for the Internet of Things (IoT) which conforms to the international standard ISO/IEC/IEEE 42010:2011 is defined. The architecture framework description is motivated by concerns commonly shared by IoT system stakeholders across multiple domains (transportation, healthcare, Smart Grid, etc.). A conceptual basis for the notion of things in the IoT is provided and the shared concerns as a collection of architecture viewpoints is elaborated to form the body of the framework description.","","978-1-5044-5632-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8672168","architectural framework;IEEE 2413;Internet of Things (IoT)","IEEE Standards;Internet of Things;Computer architecture","","","1","","","20 Mar 2019","15 March 2019","","IEEE","IEEE Standards"
"The Internet of Things game: Illuminating data interactions within the Internet of Things","H. Akmal; P. Coulton","Lancaster Institute for the Contemporary Arts, Lancaster University, Lancaster, UK; Lancaster Institute for the Contemporary Arts, Lancaster University, Lancaster, UK",Living in the Internet of Things (IoT 2019),"19 Mar 2020","2019","","","1","5","This paper examines the use of game design as a way to aid developing a better understanding of complexity of data interactions which occur within the Internet of Things (IoT) amongst a non-technical audience. We present findings from the playing a game designed and themed around interactions within the IoT whereby players are introduced to its underlying operations and data flows through the procedural rhetoric of the game. The data associated with IoT interactions is often invisible and/or unintelligible to the general user and we therefore use the rhetoric presented through playing the game to foreground the complexity of both seen and unseen activities within IoT augmented spaces. This allows players to gain a greater understanding of the connection between the digital world which increasingly augments our physical world.","","978-1-83953-089-0","10.1049/cp.2019.0156","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9038020","INTERNET OF THINGS;PROCEDURAL RHETORIC;GAME DESIGN;IOT;BOARD GAME","","","1","","","","19 Mar 2020","1-2 May 2019","1-2 May 2019","IET","IET Conferences"
"Intelligent Internet of things service based on artificial intelligence technology","C. Zhang","Department of Finance and Economics, Chengdu Polytechnic, Chengdu, China","2021 IEEE 2nd International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)","2 Apr 2021","2021","","","731","734","The global Internet industry is becoming more and more mature, showing vigorous development potential and vitality, and gradually becoming an important part of promoting economic development and challenges. In the future, with the help of artificial intelligence technology, big data technology, 5G and other new technologies, and with the increase of Internet usage, the focus of Internet connection will shift from people-oriented connection to Internet of things connection. Since 2020, the novel coronavirus pneumonia outbreak and spread worldwide, and it has brought great challenges to the global economy and society. The Internet has played an important role in the resumption of work and production, economic recovery and maintenance of social operation. The application of the Internet of things has alleviated some negative effects of the epidemic, and has made an important contribution to economic development.","","978-1-6654-1540-8","10.1109/ICBAIE52039.2021.9390061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9390061","artificial intelligence;information technology;Internet of things","Economics;Globalization;Production;Big Data;Internet of Things;Artificial intelligence;Smart devices","","58","","10","IEEE","2 Apr 2021","26-28 March 2021","26-28 March 2021","IEEE","IEEE Conferences"
"Opportunistic cyberphysical services: A novel paradigm for the future Internet of Things","G. Fortino; W. Russo; C. Savaglio; M. Viroli; M. Zhou","Dept. of Informatics, Modelling, University of Calabria, Rende, CS, Italy; Dept. of Informatics, Modelling, University of Calabria, Rende, CS, Italy; Dept. of Informatics, Modelling, University of Calabria, Rende, CS, Italy; Dept. of lnformatic, Alma Mater Studiorum-University of Bologna, Bologna, Italy; Dept. of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, NJ, USA",2018 IEEE 4th World Forum on Internet of Things (WF-IoT),"7 May 2018","2018","","","488","492","Services have a paramount importance for unfolding the potential of the future Internet of Things (IoT), a dense, open, cyberphysical ecosystem in which humans, conventional computing systems and daily objects straightforwardly interoperate. By summarizing our previous contributions in such novel research context, this paper promotes our vision of “Opportunistic IoT Services” and a full-fledged approach to their modeling according to their opportunistic properties. Its effectiveness and flexibility is illustrated by means of two case studies, related to the Industrial IoT and Smart City scenarios.","","978-1-4673-9944-9","10.1109/WF-IoT.2018.8355174","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8355174","Internet of Things;Cyberphysical Services;Opportunistic Services;Modelling","Computational modeling;Safety;Biological system modeling;Smart cities;Internet of Things;Context modeling","","15","","16","IEEE","7 May 2018","5-8 Feb. 2018","5-8 Feb. 2018","IEEE","IEEE Conferences"
"Practical Application of Machine Learning based Online Intrusion Detection to Internet of Things Networks","C. Nixon; M. Sedky; M. Hassan","Staffordshire University, Stoke-on-Trent, UK; Staffordshire University, Stoke-on-Trent, UK; Staffordshire University, Stoke-on-Trent, UK",2019 IEEE Global Conference on Internet of Things (GCIoT),"9 Apr 2020","2019","","","1","5","Internet of Things (IoT) devices participate in an open and distributed perception layer, with vulnerability to cyber attacks becoming a key concern for data privacy and service availability. The perception layer provides a unique challenge for intrusion detection where resources are constrained and networks are distributed. An additional challenge is that IoT networks are a continuous non-stationary data stream that, due to their variable nature, are likely to experience concept drift. This research aimed to review the practical applications of online machine learning methods for IoT network intrusion detection, to answer the question if a resource efficient architecture can be provided? An online learning architecture is introduced, with related IDS approaches reviewed and evaluated. Online learning provides a potential memory and time efficient architecture that can adapt to concept drift and perform anomaly detection, providing solutions for the resource constrained and distributed IoT perception layer. Future research should focus on addressing class imbalance in the data streams to ensure that minority attack classes are not missed.","","978-1-7281-4873-1","10.1109/GCIoT47977.2019.9058410","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9058410","Internet of Things;Intrusion Detection;Online Machine Learning;Concept Drift;Anomaly Detection","Adaptation models;Intrusion detection;Internet of Things;Data models;Time complexity;Clustering algorithms;Machine learning","","13","","21","IEEE","9 Apr 2020","4-7 Dec. 2019","4-7 Dec. 2019","IEEE","IEEE Conferences"
