"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Machine Learning-Enabled Smart Transit: Real-Time Bus Tracking System for Enhanced Urban Mobility","N. M. Kailash Varma; M. I. Ahmed; G. Madhusudhan; G. R. Babu; T. Shalini; F. Unnisa","Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India; Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India; Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India; Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad-Panatella, India; Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad-Panatella, India; Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India",2024 Intelligent Systems and Machine Learning Conference (ISML),"23 May 2025","2024","","","520","524","In bustling urban cities, the efficiency of public transportation stands as a critical factor in alleviating traffic congestion and enhancing the daily commuter experience. This paper introduces a state-of-the-art Bus Tracking System that is meticulously designed to empower passengers by providing real-time updates on bus locations, availability, and estimated arrival and departure times. By leveraging cutting-edge technologies, this innovative system offers a myriad of advantages, notably including the reduction of passenger wait times, the optimization of route planning, and an overall enhancement of the public transportation journey. Through a comprehensive exploration of the significance of bus tracking technology and its potential to revolutionize urban mobility, this research underscores its pivotal role in promoting sustainable, convenient, and seamless transportation solutions tailored to the needs of modern cities. Our model uses machine learning techniques like regression, Kalman filter algorithm, and support vector machines to analyze the accuracy of arrival and departure of buses and further help in time-efficient and demand-based management of buses. A real-time location of buses can be provided by Google Maps API and Google Geolocation API.","","979-8-3503-4387-8","10.1109/ISML60050.2024.11007439","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11007439","Tracking;Machine Learning;Geo-Location;Kalman Filter;Support Vector Regression","Support vector machines;Machine learning algorithms;Accuracy;Web services;Urban areas;Machine learning;Real-time systems;Kalman filters;Public transportation;Traffic congestion","","3","","26","IEEE","23 May 2025","4-5 May 2024","4-5 May 2024","IEEE","IEEE Conferences"
"IEEE Draft Guide for Architectural Framework and Application of Federated Machine Learning","",,"IEEE P3652.1/D6, April 2020","7 Jul 2020","2020","","","1","70","Federated machine learning defines a machine learning framework that allows a collective model to be constructed from data that is distributed across repositories owned by different organizations or devices. A blueprint for data usage and model building across organizations and devices while meeting applicable privacy, security and regulatory requirements is provided in this guide. It defines the architectural framework and application guidelines for federated machine learning, including description and definition of federated machine learning; the categories federated machine learning and the application scenarios to which each category applies; performance evaluation of federated machine learning; and associated regulatory requirements.","","978-1-5044-6739-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9134988","computation efficiency;economic viability;federated machine learning (FML);IEEE 3652.1™;incentive mechanism;machine learning;model performance;privacy;privacy regulations;security","IEEE Standards;Computer architecture;Machine learning;Metasearch;Privacy;Security;Performance evaluation;Security;Computational efficiency","","","","","","7 Jul 2020","1 June 2020","","IEEE","IEEE Standards"
"Unveiling the Potential of Machine Learning: Harnessing Machine Learning for Enhanced Coronary Heart Disease Detection and Intervention","H. H. Vadher; A. Aryan; K. Vamshi; R. Rajashekar; D. Ashish; G. D. Arora","Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India; Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India; Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India; Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India; Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India; Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India",2024 4th International Conference on Advancement in Electronics & Communication Engineering (AECE),"13 Mar 2025","2024","","","1073","1078","Coronary heart disease (CHD) remains a critical global health issue, necessitating effective predictive models to enhance early diagnosis and intervention. This study explores the application of various machine learning algorithms to CHD data to identify and predict the risk of developing the disease based on health indicators. We employed several algorithms, including Logistic Regression, Random Forest Classifier, Support Vector Machine (SVM), and Recurrent Neural Network (RNN), each with its unique strengths and limitations. The Logistic Regression model achieved an accuracy of approximately 86%, proving effective in binary classification tasks but revealing potential class imbalance issues. The Random Forest Classifier demonstrated robustness with an accuracy of around 85.24%, adeptly handling complex datasets. While specific accuracy metrics for the SVM were not detailed, it was noted for its classification capabilities. The RNN achieved an accuracy of approximately 85.96%, effectively capturing temporal dependencies within the data. Results indicate that although all models performed well, challenges such as class imbalance impacted performance metrics, especially in predicting CHD cases. This highlights the need for further refinement in predictive models to improve precision, recall, and F1-scores. Later research will examine the integration of advanced deep learning methodologies to enhance the precision and dependability of CHD forecasts.","","979-8-3503-6472-9","10.1109/AECE62803.2024.10911700","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10911700","Coronary Heart Disease (CHD);Machine Learning Algorithms;Logistic Regression;Random Forest Classifier;Support Vector Machine (SVM);Recurrent Neural Network (RNN);Predictive Modelling in Healthcare","Support vector machines;Heart;Logistic regression;Recurrent neural networks;Machine learning algorithms;Accuracy;Predictive models;Prediction algorithms;Random forests;Diseases","","6","","15","IEEE","13 Mar 2025","22-23 Nov. 2024","22-23 Nov. 2024","IEEE","IEEE Conferences"
"IEEE Approved Draft Guide for Architectural Framework and Application of Federated Machine Learning","",,"IEEE P3652.1/D6.1, July 2020","3 Aug 2020","2020","","","1","70","Federated machine learning defines a machine learning framework that allows a collective model to be constructed from data that is distributed across repositories owned by different organizations or devices. A blueprint for data usage and model building across organizations and devices while meeting applicable privacy, security and regulatory requirements is provided in this guide. It defines the architectural framework and application guidelines for federated machine learning, including description and definition of federated machine learning; the categories federated machine learning and the application scenarios to which each category applies; performance evaluation of federated machine learning; and associated regulatory requirements.","","978-1-5044-6892-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9154804","computation efficiency;economic viability;federated machine learning (FML);IEEE 3652.1™;incentive mechanism;machine learning;model performance;privacy;privacy regulations;security","IEEE Standards;Computer security;Machine learning;Metasearch","","","","","","3 Aug 2020","24 Sept. 2020","","IEEE","IEEE Standards"
"Sentiment Analysis of Machine Learning Algorithms: A Transformer-Based Approach","N. M. Kailash Varma; S. Vijay Sai Kumar; S. H. Mattaparty; S. Ismail; M. Harshini; S. Ahmeduddin","Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India; Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India; Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India; Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India; Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India; Department of Artificial Intelligence & Machine Learning, Vardhaman College of Engineering, Hyderabad, Telangana, India",2024 Intelligent Systems and Machine Learning Conference (ISML),"23 May 2025","2024","","","525","530","Machine learning algorithms have become pervasive in diverse applications, revolutionizing various domains. However, the abundance of algorithms, each designed for specific purposes, poses a challenge for both novice users and experts in selecting the most suitable model. This research addresses this issue through a comprehensive analysis, leveraging Natural Language Processing (NLP) techniques and the powerful Transformers library. Researcher’s comments from published papers were analyzed using the Transformers library, presenting a novel approach that maps algorithm scores based on adjectives. Results indicate that Neural Networks consistently outperform other algorithms, providing valuable insights for practitioners. Our research contributes to a systematic evaluation framework, aiding researchers in algorithm selection.","","979-8-3503-4387-8","10.1109/ISML60050.2024.11007454","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11007454","Machine Learning(ML) Algorithms;Sentiment Analysis(SA);Transformers Library;Algorithm Selection;Neural Networks;Comparative Analysis;NLP (Natural Language Processing);Support Vector Machine(SVM);Optimized Model","Support vector machines;Sentiment analysis;Machine learning algorithms;Systematics;Neural networks;Transformers;Libraries;Vectors;Robustness;Splines (mathematics)","","2","","30","IEEE","23 May 2025","4-5 May 2024","4-5 May 2024","IEEE","IEEE Conferences"
"Improving Software Defects Detection: An In-Depth Analysis of Machine Learning Methods and Static Analysis Tools for Greater Accuracy","V. Bobade; C. Puri","Department of Artificial Intelligence and Machine Learning, Faculty of Engineering And Technology, DMIHER, Wardha, Maharashtra, India; Department of Computer Science and Engineering, Faculty of Engineering And Technology, DMIHER, Wardha, Maharashtra, India",2025 International Conference on Machine Learning and Autonomous Systems (ICMLAS),"25 Apr 2025","2025","","","502","507","Enhancing software quality and reducing testing expenses requires better software fault detection. To guarantee the dependability and usability of software, Software Defect Prediction (SDP) uses machine learning approaches to anticipate and address any problems early in the development cycle. Numerous machine learning techniques, such as Support Vector Machines (SVM), Random Forest (RF), Logistic Regression, Naïve Bayes, Multilayer Perceptron (MLP), Decision Stump, J48, Lazy IBK, and ZeroR, are thoroughly examined in this work. With an emphasis on feature selection as a crucial step in increasing prediction accuracy and lower computing costs, these approaches are assessed for their capacity to detect software flaws precisely. This research study demonstrates how these models may improve fault identification and prevention procedures using historical records from sources such as the PROMISE repository. The study highlights the best practices for machine learning-based software quality assurance, lowering expenses while guaranteeing superior results.","","979-8-3315-0574-5","10.1109/ICMLAS64557.2025.10968410","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10968410","software defect prediction;feature selection;Machine learning techniques;Logistic Regression;Random Forest classifier","Support vector machines;Accuracy;Machine learning algorithms;Software algorithms;Machine learning;Software quality;Multilayer perceptrons;Feature extraction;Prediction algorithms;Random forests","","3","","20","IEEE","25 Apr 2025","10-12 March 2025","10-12 March 2025","IEEE","IEEE Conferences"
"Unsupervised Machine Learning Methods for Artifact Removal in Electrodermal Activity","S. Subramanian; B. Tseng; R. Barbieri; E. N. Brown","Harvard-MIT Division of Health Sciences and Technology, Massachusetts Institute of Technology, Cambridge, MA, USA; Picower Institute of Learning and Memory, Cambridge, MA; Department of Electronics, Informatics and Engineering, Politecnico di Milano, Milano, Italy; MGH Department of Anesthesia, Critical Care, and Pain Medicine, MIT Department of Brain and Cognitive Sciences, MIT Institute for Medical Engineering and Science, and Picower Institute for Learning and Memory, Cambridge, MA",2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"9 Dec 2021","2021","","","399","402","Artifact detection and removal is a crucial step in all data preprocessing pipelines for physiological time series data, especially when collected outside of controlled experimental settings. The fact that such artifact is often readily identifiable by eye suggests that unsupervised machine learning algorithms may be a promising option that do not require manually labeled training datasets. Existing methods are often heuristic-based, not generalizable, or developed for controlled experimental settings with less artifact. In this study, we test the ability of three such unsupervised learning algorithms, isolation forests, 1-class support vector machine, and K-nearest neighbor distance, to remove heavy cautery-related artifact from electrodermal activity (EDA) data collected while six subjects underwent surgery. We first defined 12 features for each halfsecond window as inputs to the unsupervised learning methods. For each subject, we compared the best performing unsupervised learning method to four other existing methods for EDA artifact removal. For all six subjects, the unsupervised learning method was the only one successful at fully removing the artifact. This approach can easily be expanded to other modalities of physiological data in complex settings.Clinical Relevance— Robust artifact detection methods allow for the use of diverse physiological data even in complex clinical settings to inform diagnostic and therapeutic decisions.","2694-0604","978-1-7281-1179-7","10.1109/EMBC46164.2021.9630535","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9630535","","Training;Support vector machines;Machine learning algorithms;Time series analysis;Pipelines;Surgery;Machine learning","Algorithms;Artifacts;Galvanic Skin Response;Humans;Unsupervised Machine Learning","19","","13","IEEE","9 Dec 2021","1-5 Nov. 2021","1-5 Nov. 2021","IEEE","IEEE Conferences"
"Predicting Urban Land Cover Using Classification: A Machine Learning Approach","T. Jadhav; Tanishq; S. Jagadish; M. Gaikwad; S. Wagle; R. Jayaswal; S. Patil","Department of Artificial Intelligence and Machine Learning, Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Department of Artificial Intelligence and Machine Learning, Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Department of Artificial Intelligence and Machine Learning, Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Department of Artificial Intelligence and Machine Learning, Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Department of Artificial Intelligence and Machine Learning, Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Department of Artificial Intelligence and Machine Learning, Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Department of Artificial Intelligence and Machine Learning, Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India",2023 IEEE 11th Region 10 Humanitarian Technology Conference (R10-HTC),"19 Mar 2024","2023","","","450","454","The classification of urban land cover is a crucial step in comprehending the evolution of the urban environment and its effects. We are providing a comparative analysis of machine learning methods for classifying urban land cover using remote sensing data in this research. The study utilises the Urban Land Cover dataset which is obtained from the UCI Machine Learning Repository, which contains high-resolution images taken of urban areas. Also, comparison of several popular machine learning classification algorithms, such as Decision Tree classifier, Random Forest classifier, Support Vector Machine classifier (SVM/SVC), XGBoost classifier, K-Nearest Neighbors classifier (KNN) and Ridge classifier is done along with their accuracy scores. This comparison shows that the Random Forest algorithm outperforms the other machine learning algorithms with an overall accuracy of 91.38 % after removing the outliers and using Grid Search CV to tune the hyper-parameters.","2572-7621","979-8-3503-2614-7","10.1109/R10-HTC57504.2023.10461930","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10461930","Urban Land Cover Classification;Machine Learning Algorithms;Remote Sensing Data;Comparative Anal-ysis;MAUP;OBIA;Random Forest","Support vector machines;Machine learning algorithms;Forests;Shape;Urban areas;Land surface;Classification algorithms","","8","","15","IEEE","19 Mar 2024","16-18 Oct. 2023","16-18 Oct. 2023","IEEE","IEEE Conferences"
"Unlocking Stock Market Potential: Machine Learning Predictions for NIFTY50's Most Profitable Companies","P. S. Sanda; R. Thota; A. Kodimala; R. B. Gadari; G. Aurora; N. Padmaja","Dept. Artificial Intelligence and Machine Learning, Vardhaman College Of Engineering, Hyderabad, India; Dept. Artificial Intelligence and Machine Learning, Vardhaman College Of Engineering, Hyderabad, India; Dept. Artificial Intelligence and Machine Learning, Vardhaman College Of Engineering, Hyderabad, India; Dept. Artificial Intelligence and Machine Learning, Vardhaman College Of Engineering, Hyderabad, India; Dept. Artificial Intelligence and Machine Learning, Vardhaman College Of Engineering, Hyderabad, India; Dept. Artificial Intelligence and Machine Learning, Vardhaman College Of Engineering, Hyderabad, India",2024 4th International Conference on Advancement in Electronics & Communication Engineering (AECE),"13 Mar 2025","2024","","","467","471","The use of machine learning (ML) to recognize the stock market trend as well as companies, which are expected to provide the most profit with-in NIFTY50 index is a focus area work in the past 5 years of historical data. We use many ML models (linear regression, decision trees, and neural networks) to predict stock price movements in order to decide which are the top 5 companies with the best return. In summary, according to our experiment the ML models can be good at predicting stock trends and are thus very useful for any investors. It demonstrates how deep learning and machine learning could be used to empower the levels of investment strategies with non-linear irregularities not captured by traditional models. The dictionary tells you what kind of processing has been performed on the data (such as missing value handling, normalization etc.), which keeps things more organized. We also use feature engineering techniques such as moving averages, relative strength index (RSI), and moving average convergence divergence (MACD) to improve the predictability of these models.","","979-8-3503-6472-9","10.1109/AECE62803.2024.10911573","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10911573","Stock market prediction;machine learning;NIFTY50;linear regression;decision trees;neural networks","Neural networks;Linear regression;Machine learning;Companies;Predictive models;Market research;Indexes;Decision trees;Stock markets;Investment","","","","17","IEEE","13 Mar 2025","22-23 Nov. 2024","22-23 Nov. 2024","IEEE","IEEE Conferences"
"A Survey on Machine Learning Approaches and Its Techniques:","T. R. N; R. Gupta","Rajiv Gandhi Proudyogiki Vishwavidyalaya, University Institute of Technology, Bhopal, M.P, India; Rajiv Gandhi Proudyogiki Vishwavidyalaya, University Institute of Technology, Bhopal, M.P, India","2020 IEEE International Students' Conference on Electrical,Electronics and Computer Science (SCEECS)","7 May 2020","2020","","","1","6","With the data and information is available at a tremendous rate, there is a need for machine learning approaches. Machine learning, it analyses the study and constructs the algorithms by making prediction on data. It builds model from the inputs to make the decisions or predictions. Machine learning algorithms it assists in bridging the gap of understanding. In this literature we investigate different machine learning approaches and its techniques.","2688-0288","978-1-7281-4862-5","10.1109/SCEECS48394.2020.190","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9087123","Machine learning;Supervised learning;Unsupervised learning;Semi-supervised learning;Reinforcement Learning.","Machine learning algorithms;Supervised learning;Machine learning;Reinforcement learning;Semisupervised learning;Predictive models;Unsupervised learning","","70","","37","IEEE","7 May 2020","22-23 Feb. 2020","22-23 Feb. 2020","IEEE","IEEE Conferences"
