"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The neuro-robotics paradigm: NEURARM, NEUROExos, HANDEXOS","T. Lenzi; S. De Rossi; N. Vitiello; A. Chiri; S. Roccella; F. Giovacchini; F. Vecchi; M. C. Carrozza","Advanced Robotics Technology and Systems Laboratory-Scuola Superiore Sant Anna, Pisa, Italy; Advanced Robotics Technology and Systems Laboratory-Scuola Superiore Sant Anna, Pisa, Italy; Advanced Robotics Technology and Systems Laboratory-Scuola Superiore Sant Anna, Pisa, Italy; Advanced Robotics Technology and Systems Laboratory-Scuola Superiore Sant Anna, Pisa, Italy; Advanced Robotics Technology and Systems Laboratory-Scuola Superiore Sant Anna, Pisa, Italy; Advanced Robotics Technology and Systems Laboratory-Scuola Superiore Sant Anna, Pisa, Italy; Advanced Robotics Technology and Systems Laboratory-Scuola Superiore Sant Anna, Pisa, Italy; Advanced Robotics Technology and Systems Laboratory-Scuola Superiore Sant Anna, Pisa, Italy",2009 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"13 Nov 2009","2009","","","2430","2433","This work describes the neuro-robotics paradigm: the fusion of neuroscience and robotics. The fusion of neuroscience and robotics, called neuro-robotics, is fundamental to develop robotic systems to be used in functional support, personal assistance and neuro-rehabilitation. While usually the robotic device is considered as a ldquotoolrdquo for neuroscientific studies, a breakthrough is obtained if the two scientific competences and methodologies converge to develop innovative platforms to go beyond robotics by including novel models to design better robots. This paper describes three robotic platforms developed at the ARTS lab of Scuola Superiore Sant'Anna, implementing neuro-robotic design paradigm.","1558-4615","978-1-4244-3296-7","10.1109/IEMBS.2009.5334957","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5334957","Neuro-robotics;robotic model;upper limb exoskeleton;anthropomorphic robotic arm","Rehabilitation robotics;Neuroscience;Subspace constraints;Exoskeletons;Human robot interaction;Force measurement;Motion control;Elbow;USA Councils;Anthropomorphism","Artifacts;Artificial Intelligence;Biomedical Engineering;Computers;Cybernetics;Equipment Design;Fingers;Human Engineering;Humans;Neural Networks (Computer);Neurosurgery;Neurosurgery;Recovery of Function;Robotics;Software;Surgery, Computer-Assisted;Surgery, Computer-Assisted","24","","25","IEEE","13 Nov 2009","3-6 Sept. 2009","3-6 Sept. 2009","IEEE","IEEE Conferences"
"Collaborative Robotics Toolkit (CRTK): Open Software Framework for Surgical Robotics Research","Y. -H. Su; A. Munawar; A. Deguet; A. Lewis; K. Lindgren; Y. Li; R. H. Taylor; G. S. Fischer; B. Hannaford; P. Kazanzides","Dept. of Computer Science, Mount Holyoke College, South Hadley, MA, USA; Robotics Engineering Program, Worcester Polytechnic Institute, Worcester, MA, USA; Dept. of Computer Science, Johns Hopkins University, Baltimore, MD, USA; Dept. of Mechanical Engineering, Dept. of Electrical and Computer Engineering, University of Washington, Seattle, WA, USA; Dept. of Mechanical Engineering, Dept. of Electrical and Computer Engineering, University of Washington, Seattle, WA, USA; Dept. of Electrical, Computer, and Telecommunication Engineering Technology at Rochester Institute of Technology, Rochester, NY, USA; Dept. of Computer Science, Johns Hopkins University, Baltimore, MD, USA; Robotics Engineering Program, Worcester Polytechnic Institute, Worcester, MA, USA; Dept. of Mechanical Engineering, Dept. of Electrical and Computer Engineering, University of Washington, Seattle, WA, USA; Dept. of Computer Science, Johns Hopkins University, Baltimore, MD, USA",2020 Fourth IEEE International Conference on Robotic Computing (IRC),"24 Dec 2020","2020","","","48","55","Robot-assisted minimally invasive surgery has made a substantial impact in operating rooms over the past few decades with their high dexterity, small tool size, and impact on adoption of minimally invasive techniques. In recent years, intelligence and different levels of surgical robot autonomy have emerged thanks to the medical robotics endeavors at numerous academic institutions and leading surgical robot companies. To accelerate interaction within the research community and prevent repeated development, we propose the Collaborative Robotics Toolkit (CRTK), a common API for the RAVEN-II and da Vinci Research Kit (dVRK) - two open surgical robot platforms installed at more than 40 institutions worldwide. CRTK has broadened to include other robots and devices, including simulated robotic systems and industrial robots. This common API is a community software infrastructure for research and education in cutting edge human-robot collaborative areas such as semi-autonomous teleoperation and medical robotics. This paper presents the concepts, design details and the integration of CRTK with physical robot systems and simulation platforms.","","978-1-7281-5237-0","10.1109/IRC.2020.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9287933","medical robotics;collaborative robotics;teleoperation;open software framework","Medical robotics;Minimally invasive surgery;Service robots;Conferences;Collaboration;Software;Robots","","23","","31","IEEE","24 Dec 2020","9-11 Nov. 2020","9-11 Nov. 2020","IEEE","IEEE Conferences"
"A Miniature Mobile Robot With a Color Stereo Camera System for Swarm Robotics Research","J. Haverinen; M. Parpala; J. Roning","Department of Electrical and Information Engineering, University of Oulu, Oulu, Finland; Department of Electrical and Information Engineering, University of Oulu, Oulu, Finland; Department of Electrical and Information Engineering, University of Oulu, Oulu, Finland",Proceedings of the 2005 IEEE International Conference on Robotics and Automation,"10 Jan 2006","2005","","","2483","2486","In swarm robotics research, instead of using large size robots, it is often desirable to have multiple small size robots for saving valuable work space and making the maintainance of the robots easier. Also, the implementation costs of a miniature robot is lower because of simpler mechanical design. In this paper, we present a novel modular miniature mobile robot designed for swarm robotics research. The sensor set of the robot includes a color stereo camera system with two CMOS cameras and DSP, allowing each robot to do sophisticated stereo image processing on-board. The modular design permits the addition of new modules into the system. The modules communicate using three serial buses (SPI, I2C, and UART), which enable flexible, adaptive, and fast inter-module data exchange. The robot is developed for swarm robotics research with the aim to provide a low-cost and low-power miniature mobile robot with capabilities typically found only in large size robots.","1050-4729","0-7803-8914-X","10.1109/ROBOT.2005.1570485","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1570485","mobile robot;swarm robotics;miniaturization;CMOS camera","Mobile robots;Robot vision systems;Cameras;Orbital robotics;Robot sensing systems;CMOS image sensors;Costs;Mechanical sensors;Sensor systems;Color","","12","","10","IEEE","10 Jan 2006","18-22 April 2005","18-22 April 2005","IEEE","IEEE Conferences"
"The robotics body of knowledge [Education]","G. T. McKee","Computer Science, School of Systems Engineering, University of Reading, Reading, Berkshire, UK",IEEE Robotics & Automation Magazine,"2 Apr 2007","2007","14","1","18","19","The article gives a wake up call on the need of an organized effort in robotics education. A brief overview of the special issue of the International Journal of Engineering Education, which offered some insight into the current trends in robotics education, is given. A range of robotics programs that can be offered at the bachelor's degree level and how these mesh with existing programs are described. Finally, the need for the robotics community to establish its body of knowledge is stressed","1558-223X","","10.1109/MRA.2007.339621","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4141028","","Educational robots;Educational programs;Robotics and automation;Cognitive robotics;Engineering education;Educational technology;Biological materials;Mathematics;Intelligent robots;Grounding","","5","","","IEEE","2 Apr 2007","March 2007","","IEEE","IEEE Magazines"
"Application of automatic action planning for several work cells to the German ETS-VII space robotics experiments","E. Freund; K. Hoffmann; J. Rossmann","Institute of Robotics Research, Dortmund, Germany; Institute of Robotics Research, Dortmund, Germany; Institute of Robotics Research, Dortmund, Germany",Proceedings 2000 ICRA. Millennium Conference. IEEE International Conference on Robotics and Automation. Symposia Proceedings (Cat. No.00CH37065),"6 Aug 2002","2000","2","","1239","1244 vol.2","Experiences in space robotics show, that the user normally has to cope with a huge amount of data. So, only robot and mission specialists are able to control the robot arm directly in teleoperation mode. By means of an intelligent robot control in cooperation with virtual reality methods, it is possible for non-robot specialists to generate tasks for a robot or an automation component intuitively. Furthermore, the intelligent robot control improves the safety of the entire system. The on-ground robot control and command station for the robot arm ERA onboard the satellite ETS-VII builds on a new resource-based action planning approach to manage robot manipulators and other automation components. In the case of ERA, the action planning system also takes care of the ""real"" robot onboard the satellite and the ""virtual"" robot in the simulation system. By means of the simulation system, the user can plan tasks ahead as well as analyze and visualize different strategies. The paper describes the mechanism of resource-based action planning, its application to different work cells, the practical experiences gained from the implementation for the on-ground robot control and command station for the robot arm ERA developed in the GETEX project as well as the services it provides to support VR-based man machine interfaces.","1050-4729","0-7803-5886-4","10.1109/ROBOT.2000.844768","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=844768","","Robotics and automation;Robot control;Orbital robotics;Intelligent robots;Automatic control;Satellites;Automatic generation control;Virtual reality;Control systems;Safety","","8","","11","IEEE","6 Aug 2002","24-28 April 2000","24-28 April 2000","IEEE","IEEE Conferences"
"MR Meets Robotics: A Review of Mixed Reality Technology in Robotics","J. Yu; T. Wang; Y. Shi; L. Yang","Zhejiang University/University of Illinois at Urbana-Champaign Institute, Zhejiang University, Haining, China; Zhejiang University/University of Illinois at Urbana-Champaign Institute, Zhejiang University, Haining, China; Zhejiang University/University of Illinois at Urbana-Champaign Institute, Zhejiang University, Haining, China; Zhejiang University/University of Illinois at Urbana-Champaign Institute, Zhejiang University, Haining, China","2022 6th International Conference on Robotics, Control and Automation (ICRCA)","18 Jul 2022","2022","","","11","17","The rising interest in Mixed Reality (MR) technology in robotics and the lack of prior work in the literature of this subject motivate this review paper. Our purpose is to discuss current research and the advancement of MR applications in the context of robotics. Development in modern robots towards a more human-centric role is driven largely by enabling technology including, but not limited to, machine vision, cobots, virtual reality, and more recently, MR technology. The scope encompasses MR technology in various aspects of robotics, namely, robot vision, control and planning, human-robot interaction, multi-user collaborations, and swarm robotics. Through discussions of the benefits and knowledge gaps in contemporary development, the review is expected to provide readers with an in-depth appreciation of the state-of-the-art technology and the possibility of MR technology in robotics.","","978-1-6654-8174-8","10.1109/ICRCA55033.2022.9828895","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9828895","mixed reality;robotics;visualization;teleoperation and control","Robot kinematics;Robot vision systems;Swarm robotics;Human-robot interaction;Mixed reality;Collaboration;Virtual reality","","9","","58","IEEE","18 Jul 2022","26-28 Feb. 2022","26-28 Feb. 2022","IEEE","IEEE Conferences"
"SIN: A Programmable Platform for Swarm Robotics","A. Foroutannia; M. Shoryabi; A. A. Anaraki; A. Rowhanimanesh","Department of Electrical Engineering, Intelligent Systems & Robotics Lab, University of Neyshabur, Neyshabur, Iran; Department of Electrical Engineering, Intelligent Systems & Robotics Lab, University of Neyshabur, Neyshabur, Iran; Department of Electrical Engineering, Intelligent Systems & Robotics Lab, University of Neyshabur, Neyshabur, Iran; Department of Electrical Engineering, Intelligent Systems & Robotics Lab, University of Neyshabur, Neyshabur, Iran","2021 26th International Computer Conference, Computer Society of Iran (CSICC)","7 May 2021","2021","","","1","5","Swarm robotics is an inspiration from nature and incorporates swarm intelligence to help collective robotics. This recent technology is usually characterized by a swarm of simple, low-cost, and small robots instead of a complicated and expensive robot. Designing optimal and reliable swarm intelligence algorithms require real-world test environments. As a practical solution, physical platforms can efficiently address this issue. In this paper, a programmable physical platform, called SIN, is introduced for swarm robotics. Different design parameters such as communication range, signaling pattern, types of sensors and actuators, cooperation rules, and degree of uncertainty and noise can be simply adjusted by user. The building blocks of each agent has been developed in a modular form to improve the hardware flexibility. To illustrate the efficiency of the proposed platform, a cooperative multi-robot target tracking problem is implemented on this platform as a case study, where the robots interact by artificial attraction-repulsion forces based on short-range and noisy optical communication. The results demonstrate how the details of swarm behaviors such as decentralized aggregation and collective target tracking can be successfully implemented on the proposed platform.","","978-1-6654-1241-4","10.1109/CSICC52343.2021.9420596","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9420596","Swarm Robotics;Programmable Platform;Swarm Aggregation;Cooperative Target Tracking","Actuators;Target tracking;Uncertainty;Heuristic algorithms;Swarm robotics;Robot sensing systems;Transceivers","","6","","54","IEEE","7 May 2021","3-4 March 2021","3-4 March 2021","IEEE","IEEE Conferences"
"EDUROSC-Kids: An Educational Robotics Standard Curriculum for Kids","R. E. Patiño-Escarcina; D. Barrios-Aranibar; L. S. Bernedo-Flores; P. Javier Alsina; L. M. Garcia Gonçalves","Electrical and Electronics Engineering Department, Universidad Católica San Pablo, Arequipa, Peru; Electrical and Electronics Engineering Department, Universidad Católica San Pablo, Arequipa, Perú; Department of Computer Engineering and Automation, Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Rio Grande, Brazil; Federal University of Rio Grande do Norte, Rio Grande, Brazil","2019 Latin American Robotics Symposium (LARS), 2019 Brazilian Symposium on Robotics (SBR) and 2019 Workshop on Robotics in Education (WRE)","2 Mar 2020","2019","","","471","476","Robotics is being studied in several fields due to the impact it has had on the media, the industry, and the academy. Besides the many undergraduate and graduate programs created around the world, robotics is also being used as a teaching tool. In these learning processes, it is required that students can build robotic prototypes to be used in a wide variety of topics like history, mathematics, language, geography, physics, etc. So, this generates the need that both, teachers and students, must have specific knowledge of robotics. In this sense, this work proposes a curriculum in the area of educational robotics for kids from 6 to 18 years old. This curriculum couple up to knowledge acquired in basic education. Also, it is proposed a set of skills of mastery taking into consideration the taxonomy of Bloom. This curriculum is being applied in the robotics club of the San Pablo Catholic University in Peru since 2014 and, as an example, in this paper we present a summary of our evaluation process using a rubric proposed previously by the robotics club. The results obtained (not only related to the rubric-based evaluation, but to the achievements in international competitions) show the relevance of our approach.","2643-685X","978-1-7281-4268-5","10.1109/LARS-SBR-WRE48964.2019.00089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9018550","curriculum;educational robotics;robotics content;robotics education","Robot sensing systems;Educational robots;Education;Tools;History;Taxonomy","","4","","14","IEEE","2 Mar 2020","23-25 Oct. 2019","23-25 Oct. 2019","IEEE","IEEE Conferences"
"Morphogenetic Robotics: An Emerging New Field in Developmental Robotics","Y. Jin; Y. Meng","Department of Computing, University of Surrey, Surrey, UK; Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA","IEEE Transactions on Systems, Man, and Cybernetics, Part C (Applications and Reviews)","17 Feb 2011","2011","41","2","145","160","Developmental robotics is also known as epigenetic robotics. We propose in this paper that there is one substantial difference between developmental robotics and epigenetic robotics, since epigenetic robotics concentrates primarily on modeling the development of cognitive elements of living systems in robotic systems, such as language, emotion, and social skills, while developmental robotics should also cover the modeling of neural and morphological development in single- and multirobot systems. With the recent rapid advances in evolutionary developmental biology and systems biology, increasing genetic and cellular principles underlying biological morphogenesis have been revealed. These principles are helpful not only in understanding biological development, but also in designing self-organizing, self-reconfigurable, and self-repairable engineered systems. In this paper, we propose morphogenetic robotics, an emerging new field in developmental robotics, is an important part of developmental robotics in addition to epigenetic robotics. By morphogenetic robotics, we mean a class of methodologies in robotics for designing self-organizing, self-reconfigurable, and self-repairable single- or multirobot systems, using genetic and cellular mechanisms governing biological morphogenesis. We categorize these methodologies into three areas, namely, morphogenetic swarm robotic systems, morphogenetic modular robots, and morphogenetic body and brain design for robots. Examples are provided for each of the three areas to illustrate the main ideas underlying the morphogenetic approaches to robotics.","1558-2442","","10.1109/TSMCC.2010.2057424","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5555989","Developmental robotics;epigenetic robotics;evolutionary developmental robotics;morphogenesis;morphogenetic robotics","Robot kinematics;Proteins;Shape;Computational modeling;Biological system modeling","","64","","100","IEEE","23 Aug 2010","March 2011","","IEEE","IEEE Journals"
"Automatic System for Creating Educational Robotics Courses in the Repo-Educ System","C. Da Costa Fernandes Curvelo; S. T. De Sá Rossiter; L. M. G. Gonçalves","Jundiaí Agricultural School, Federal Univesity of Rio Grande do Norte, Natal/RN, Brazil; Academic Office of Management and IT, Federal Institute of Rio Grande do Norte, Natal/RN, Brazil; Department of Computer and Automation Engineering, Federal Univesity of Rio Grande do Norte, Natal/RN, Brazil","2023 Latin American Robotics Symposium (LARS), 2023 Brazilian Symposium on Robotics (SBR), and 2023 Workshop on Robotics in Education (WRE)","5 Dec 2023","2023","","","643","647","Aiming to reduce the distance from the teachers of propaedeutic subjects to the use of educational robotics in the classroom, we propose the creation of a module in the Repo-Educ system, an automatic system for the formation of educational robotics courses. This module will be able to help teachers who wants to start working on a certain subject of the Common National Curricular Base, proposing a robotics course for the chosen subject and auxiliary subjects. Through these courses, teachers will have access to the lesson plans already registered in the system, which have a complete explanation of the robot’s assembly, programming, and use. It is hoped that the teacher will learn how to manage and use robotics in the classroom, adding value and knowledge to his or her students.","2643-685X","979-8-3503-1538-7","10.1109/LARS/SBR/WRE59448.2023.10332960","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10332960","Educational Robotics;Robotics Course;BNCC;Web System","Computer languages;Limiting;Conferences;Education;Production;Usability;Robots","","2","","9","IEEE","5 Dec 2023","9-11 Oct. 2023","9-11 Oct. 2023","IEEE","IEEE Conferences"
